report,kernel,metric,raw_metric,value
tiled_r32_persistent,rmsnorm_tiled_kernel,duration_us,gpu__time_duration.sum,74.784
tiled_r32_persistent,rmsnorm_tiled_kernel,dram_throughput_pct,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,57.848234621030606
tiled_r32_persistent,rmsnorm_tiled_kernel,dram_bytes_read,dram__bytes_read.sum,166428160.0
tiled_r32_persistent,rmsnorm_tiled_kernel,dram_bytes_write,dram__bytes_write.sum,121213440.0
tiled_r32_persistent,rmsnorm_tiled_kernel,mem_throughput_pct,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,57.848234621030606
tiled_r32_persistent,rmsnorm_tiled_kernel,sm_throughput_pct,sm__throughput.avg.pct_of_peak_sustained_elapsed,48.42726347291788
tiled_r32_persistent,rmsnorm_tiled_kernel,achieved_occupancy_pct,sm__warps_active.avg.pct_of_peak_sustained_active,46.79037372715187
tiled_r32_persistent,rmsnorm_tiled_kernel,registers_per_thread,launch__registers_per_thread,56.0
tiled_r32_persistent,rmsnorm_tiled_kernel,local_spill_loads,memory_l1_local_spill_op_ld.sum,
tiled_r32_persistent,rmsnorm_tiled_kernel,local_spill_stores,memory_l1_local_spill_op_st.sum,
tiled_r32_persistent,rmsnorm_tiled_kernel,grid_size,launch__grid_size,592.0
tiled_r32_persistent,rmsnorm_tiled_kernel,block_size,launch__block_size,256.0
tiled_r32_persistent,rmsnorm_tiled_kernel,stall_long_scoreboard_pct,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,8.007530340668762
tiled_r32_persistent,rmsnorm_tiled_kernel,stall_wait_pct,smsp__average_warps_issue_stalled_wait_per_issue_active.ratio,1.4891505028571332
tiled_r32_persistent,rmsnorm_tiled_kernel,stall_not_selected,smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio,1.1039057607559364
tiled_r32_persistent,rmsnorm_tiled_kernel,issue_active_pct,smsp__issue_active.avg.pct_of_peak_sustained_active,55.85276944484991
tiled_r32_persistent,rmsnorm_tiled_kernel,l2_hit_rate_pct,lts__t_sector_hit_rate.pct,0.021161469283492555
triton_baseline,_rms_norm_tiled_onepass,duration_us,gpu__time_duration.sum,63.328
triton_baseline,_rms_norm_tiled_onepass,dram_throughput_pct,gpu__dram_throughput.avg.pct_of_peak_sustained_elapsed,68.07170610957584
triton_baseline,_rms_norm_tiled_onepass,dram_bytes_read,dram__bytes_read.sum,166424064.0
triton_baseline,_rms_norm_tiled_onepass,dram_bytes_write,dram__bytes_write.sum,120891904.0
triton_baseline,_rms_norm_tiled_onepass,mem_throughput_pct,gpu__compute_memory_throughput.avg.pct_of_peak_sustained_elapsed,68.07170610957584
triton_baseline,_rms_norm_tiled_onepass,sm_throughput_pct,sm__throughput.avg.pct_of_peak_sustained_elapsed,63.848863266164614
triton_baseline,_rms_norm_tiled_onepass,achieved_occupancy_pct,sm__warps_active.avg.pct_of_peak_sustained_active,88.53315467484886
triton_baseline,_rms_norm_tiled_onepass,registers_per_thread,launch__registers_per_thread,32.0
triton_baseline,_rms_norm_tiled_onepass,local_spill_loads,memory_l1_local_spill_op_ld.sum,
triton_baseline,_rms_norm_tiled_onepass,local_spill_stores,memory_l1_local_spill_op_st.sum,
triton_baseline,_rms_norm_tiled_onepass,grid_size,launch__grid_size,40628.0
triton_baseline,_rms_norm_tiled_onepass,block_size,launch__block_size,128.0
triton_baseline,_rms_norm_tiled_onepass,stall_long_scoreboard_pct,smsp__average_warps_issue_stalled_long_scoreboard_per_issue_active.ratio,6.839607846931431
triton_baseline,_rms_norm_tiled_onepass,stall_wait_pct,smsp__average_warps_issue_stalled_wait_per_issue_active.ratio,0.966683320820143
triton_baseline,_rms_norm_tiled_onepass,stall_not_selected,smsp__average_warps_issue_stalled_not_selected_per_issue_active.ratio,3.651578016517411
triton_baseline,_rms_norm_tiled_onepass,issue_active_pct,smsp__issue_active.avg.pct_of_peak_sustained_active,70.21003913295219
triton_baseline,_rms_norm_tiled_onepass,l2_hit_rate_pct,lts__t_sector_hit_rate.pct,0.026885862040304975
