entry,instance,stall,warps_per_issue
dual,2,not_selected,3.9046478896772143
dual,0,not_selected,3.8949129314744786
dual,1,not_selected,3.869530292696455
dual,2,barrier,2.6864950875352345
dual,1,barrier,2.6686067989129336
dual,0,barrier,2.6486734706611847
dual,2,long_scoreboard,2.0847331171321972
dual,1,long_scoreboard,1.9858527749320039
dual,0,long_scoreboard,1.981750443255192
dual,0,math_pipe_throttle,1.2884554328911253
dual,1,math_pipe_throttle,1.2714954473079154
dual,2,math_pipe_throttle,1.2550719507613557
dual,0,short_scoreboard,1.0373552004249553
dual,2,short_scoreboard,1.0370880285853048
dual,1,short_scoreboard,1.03571034874331
dual,0,selected,1.0000016568969676
dual,1,selected,0.9999847708343711
dual,2,selected,0.9998974946898513
dual,0,wait,0.9073583076355665
dual,1,wait,0.9073451570178093
dual,2,wait,0.9071029412044628
dual,0,dispatch_stall,0.24411320371322598
dual,1,dispatch_stall,0.24015660940676656
dual,2,dispatch_stall,0.23969414502217223
dual,1,mio_throttle,0.2375835502167459
dual,2,mio_throttle,0.23752845597463904
dual,0,mio_throttle,0.23729620079165833
dual,2,no_instruction,0.15506917310714674
dual,1,no_instruction,0.15213795452493586
dual,0,no_instruction,0.15048400075610907
dual,2,drain,0.08502681529043653
dual,1,drain,0.0848255712356032
dual,0,drain,0.08460010157130943
dual,0,imc_miss,0.06046147471303779
dual,1,imc_miss,0.05849607124542107
dual,2,imc_miss,0.0484333713016574
dual,0,branch_resolving,0.0431821192755708
dual,2,branch_resolving,0.04317965691176598
dual,1,branch_resolving,0.04317359172433039
dual,0,misc,0.00010635868406845622
dual,2,misc,0.00010500801889030457
dual,1,misc,0.00010403071243270657
dual,0,gmma,0.0
dual,0,lg_throttle,0.0
dual,0,membar,0.0
dual,0,sleeping,0.0
dual,0,tex_throttle,0.0
dual,1,gmma,0.0
dual,1,lg_throttle,0.0
dual,1,membar,0.0
dual,1,sleeping,0.0
dual,1,tex_throttle,0.0
dual,2,gmma,0.0
dual,2,lg_throttle,0.0
dual,2,membar,0.0
dual,2,sleeping,0.0
dual,2,tex_throttle,0.0
single,2,long_scoreboard,5.087339802239066
single,1,long_scoreboard,5.0358907749498325
single,0,long_scoreboard,4.986144338298306
single,0,not_selected,4.390969959620256
single,2,not_selected,4.38724340484819
single,1,not_selected,4.370203014978719
single,1,barrier,2.5844050099142493
single,2,barrier,2.5246050590065656
single,0,barrier,2.501439914719004
single,0,selected,1.0000080855235614
single,1,selected,1.0000015958122481
single,2,selected,0.9999953721592505
single,2,wait,0.965476946331516
single,1,wait,0.9654358237721129
single,0,wait,0.9653612447025192
single,0,math_pipe_throttle,0.9173508952323604
single,1,math_pipe_throttle,0.9150134229087572
single,2,math_pipe_throttle,0.9016150845054359
single,0,short_scoreboard,0.8346267865948402
single,1,short_scoreboard,0.8338458904962146
single,2,short_scoreboard,0.8327155254588691
single,1,mio_throttle,0.3399422124468674
single,1,dispatch_stall,0.3379291484894786
single,2,mio_throttle,0.3370550038554701
single,0,dispatch_stall,0.3368049308927109
single,2,dispatch_stall,0.334645920180705
single,0,mio_throttle,0.3334761421200987
single,2,no_instruction,0.1537922974005791
single,0,no_instruction,0.14958378171639705
single,1,no_instruction,0.14932664170248908
single,1,drain,0.12140381050176378
single,2,drain,0.1208511141712782
single,0,drain,0.12084820333815094
single,2,imc_miss,0.08467528303235702
single,0,imc_miss,0.08463564343479422
single,1,imc_miss,0.08166111714091724
single,0,branch_resolving,0.045652089496106975
single,1,branch_resolving,0.045651028628658955
single,2,branch_resolving,0.04563918034237936
single,1,misc,0.0003353865408343885
single,0,misc,0.0003063455933630618
single,2,misc,0.00020644425228562142
single,0,gmma,0.0
single,0,lg_throttle,0.0
single,0,membar,0.0
single,0,sleeping,0.0
single,0,tex_throttle,0.0
single,1,gmma,0.0
single,1,lg_throttle,0.0
single,1,membar,0.0
single,1,sleeping,0.0
single,1,tex_throttle,0.0
single,2,gmma,0.0
single,2,lg_throttle,0.0
single,2,membar,0.0
single,2,sleeping,0.0
single,2,tex_throttle,0.0
