==PROF== Connected to process 243413 (/usr/bin/python3.12)
==PROF== Disconnected from process 243413
"ID","Process ID","Process Name","Host Name","Kernel Name","Context","Stream","Block Size","Grid Size","Device","CC","Section Name","Metric Name","Metric Unit","Metric Value"
"0","243413","python3.12","127.0.0.1","void <unnamed>::gns_stats_kernel<__half, 0>(<unnamed>::GnsLargeParams<T1>)","1","7","(256, 1, 1)","(1056, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","65.60"
"0","243413","python3.12","127.0.0.1","void <unnamed>::gns_stats_kernel<__half, 0>(<unnamed>::GnsLargeParams<T1>)","1","7","(256, 1, 1)","(1056, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ns","48,640"
"0","243413","python3.12","127.0.0.1","void <unnamed>::gns_stats_kernel<__half, 0>(<unnamed>::GnsLargeParams<T1>)","1","7","(256, 1, 1)","(1056, 1, 1)","0","9.0","Command line profiler metrics","launch__grid_size","","1,056"
"0","243413","python3.12","127.0.0.1","void <unnamed>::gns_stats_kernel<__half, 0>(<unnamed>::GnsLargeParams<T1>)","1","7","(256, 1, 1)","(1056, 1, 1)","0","9.0","Command line profiler metrics","launch__registers_per_thread","register/thread","32"
"0","243413","python3.12","127.0.0.1","void <unnamed>::gns_stats_kernel<__half, 0>(<unnamed>::GnsLargeParams<T1>)","1","7","(256, 1, 1)","(1056, 1, 1)","0","9.0","Command line profiler metrics","launch__waves_per_multiprocessor","","1"
"0","243413","python3.12","127.0.0.1","void <unnamed>::gns_stats_kernel<__half, 0>(<unnamed>::GnsLargeParams<T1>)","1","7","(256, 1, 1)","(1056, 1, 1)","0","9.0","Command line profiler metrics","sm__throughput.avg.pct_of_peak_sustained_elapsed","%","57.28"
"0","243413","python3.12","127.0.0.1","void <unnamed>::gns_stats_kernel<__half, 0>(<unnamed>::GnsLargeParams<T1>)","1","7","(256, 1, 1)","(1056, 1, 1)","0","9.0","Command line profiler metrics","sm__warps_active.avg.pct_of_peak_sustained_active","%","90.68"
"1","243413","python3.12","127.0.0.1","void <unnamed>::gns_finalize_kernel<__half, 0>(<unnamed>::GnsLargeParams<T1>)","1","7","(256, 1, 1)","(32, 1, 1)","0","9.0","Command line profiler metrics","dram__throughput.avg.pct_of_peak_sustained_elapsed","%","0.48"
"1","243413","python3.12","127.0.0.1","void <unnamed>::gns_finalize_kernel<__half, 0>(<unnamed>::GnsLargeParams<T1>)","1","7","(256, 1, 1)","(32, 1, 1)","0","9.0","Command line profiler metrics","gpu__time_duration.sum","ns","3,488"
"1","243413","python3.12","127.0.0.1","void <unnamed>::gns_finalize_kernel<__half, 0>(<unnamed>::GnsLargeParams<T1>)","1","7","(256, 1, 1)","(32, 1, 1)","0","9.0","Command line profiler metrics","launch__grid_size","","32"
"1","243413","python3.12","127.0.0.1","void <unnamed>::gns_finalize_kernel<__half, 0>(<unnamed>::GnsLargeParams<T1>)","1","7","(256, 1, 1)","(32, 1, 1)","0","9.0","Command line profiler metrics","launch__registers_per_thread","register/thread","18"
"1","243413","python3.12","127.0.0.1","void <unnamed>::gns_finalize_kernel<__half, 0>(<unnamed>::GnsLargeParams<T1>)","1","7","(256, 1, 1)","(32, 1, 1)","0","9.0","Command line profiler metrics","launch__waves_per_multiprocessor","","0.03"
