report,idx,kernel,dur_us,dram_pct,dram_pct_alt,sm_pct,l2_hit_pct,occ_pct,regs,ld_sectors_per_req,st_sectors_per_req,dram_bytes
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,0,_rotary_embedding_kernel,400.576,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,1,_rotary_embedding_kernel,400.704,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,2,_rotary_embedding_kernel,400.224,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,3,_rotary_embedding_kernel,400.288,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,4,_rotary_embedding_kernel,400.288,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,5,_rotary_embedding_kernel,400.288,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,6,_rotary_embedding_kernel,400.256,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,7,_rotary_embedding_kernel,400.288,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,8,_rotary_embedding_kernel,202.88,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,9,_rotary_embedding_kernel,202.976,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,10,_rotary_embedding_kernel,202.784,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,11,_rotary_embedding_kernel,202.784,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,12,_rotary_embedding_kernel,202.912,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,13,_rotary_embedding_kernel,202.848,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,14,_rotary_embedding_kernel,202.816,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,15,_rotary_embedding_kernel,202.88,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,16,_rotary_embedding_kernel,202.816,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,17,_rotary_embedding_kernel,190.56,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,18,_rotary_embedding_kernel,191.488,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,19,_rotary_embedding_kernel,190.976,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,20,_rotary_embedding_kernel,190.752,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,21,_rotary_embedding_kernel,191.616,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,22,_rotary_embedding_kernel,191.392,,,,,,32.0,,,
dur_base_hunyuanvideo__std__B1_T27030_H24_D128__bf16.ncu-rep,23,_rotary_embedding_kernel,189.088,,,,,,32.0,,,
