model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/DeepSeek-R1-0528-FP4-v2	sharegpt_mid	sharegpt	mid	32.1579	7888	300.15	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	sglang::flashinfer_allreduce_residual_rmsnorm | aten::to | aten::squeeze_	external_id=159485	"{""Concrete Inputs"": ["""", """", """", ""9.9999999999999995e-07"", ""2048"", """", ""False"", ""False"", ""True""], ""Input Dims"": [[65, 7168], [65, 7168], [7168], [], [], [], [], [], []], ""Input Strides"": [[7168, 1], [7168, 1], [1], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar"", ""Scalar""]}"
nvidia/DeepSeek-R1-0528-FP4-v2	sharegpt_mid	sharegpt	mid	6.9116	472	1078.08	gemm	ok	True	void flashinfer::trtllm_dsv3_router_gemm::router_gemm_kernel<__nv_bfloat16, float, 128, 8, 6, 256, 7168>(float*, __nv_bfloat16 const*, __nv_bfloat16 const*)	sglang::flashinfer_dsv3_router_gemm | aten::copy_	external_id=144139	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[], [], []], ""Input Strides"": [[], [], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
nvidia/DeepSeek-R1-0528-FP4-v2	sharegpt_mid	sharegpt	mid	5.2185	2494	154.05	quant_gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalINS1_17GroupProblemShapeIN4cute5tupleIJlllEEEEENS1_10collective13CollectiveMmaINS1_51MainloopSm100ArrayTmaUmmaWarpSpecializedBlockScaledILi3ELi8ELi1ENS6_IJNS5_1CILi1EEESD_SD_EEENS_4arch5Sm100EEENS6_IJNSC_ILi128EEENSC_ILi256EEESJ_EEENS6_IJNS_12float_e2m1_tENS_13float_ue4m3_tEEEENS6_IJPNS6_IJlSD_NSC_ILi0EEEEEEPNS5_6LayoutINS6_IJNS6_IJNS6_IJNSC_ILi32EEENSC_ILi4EEEEEEiEEENS6_IJNS6_IJNSC_ILi16EEEST_EEEiEEENS6_IJSD_iEEEEEENS6_IJSY_NS6_IJNS6_IJSO_SD_EEENSC_ILi512EEEEEENS6_IJSO_iEEEEEEEEEEESN_S18_NS5_8TiledMMAINS5_8MMA_AtomIJNS5_17SM100_MMA_MXF4_SSISL_SL_fSM_Li128ELi256ELi16ELNS5_4UMMA5MajorE0ELS1D_0ELNS1C_7ScaleInE0ELS1E_0EEEEEENSR_ISE_NS6_IJSO_SO_SO_EEEEENS6_IJNS5_10UnderscoreES1J_S1J_EEEEENS6_IJNS5_13SM90_TMA_LOADES1M_EEENS6_IJNS5_14ComposedLayoutINS5_7SwizzleILi3ELi4ELi3EEENS5_18smem_ptr_flag_bitsILi4EEENSR_INS6_IJNSC_ILi8EEESJ_EEENS6_IJSJ_SD_EEEEEEENSR_INS6_IJNS6_IJNS6_IJSU_SD_EEESX_EEESD_NS6_IJSD_ST_EEEEEENS6_IJNS6_IJNS6_IJSX_S12_EEES11_EEESO_NS6_IJST_S12_EEEEEEEEEEEvNS5_8identityES1N_NS6_IJS1X_NSR_INS6_IJNS6_IJNS6_IJSU_NSC_ILi2EEEEEESX_EEESD_S20_EEENS6_IJS23_SO_NS6_IJST_NSC_ILi1024EEEEEEEEEEEEEEvS28_EENS_8epilogue10collective18CollectiveEpilogueINS2J_31Sm100PtrArrayTmaWarpSpecializedILi4ELi2ELi64ELb0ELb0EEEJSK_NS6_IJSI_NSC_ILi64EEEEEEvPNS6_IJSD_lSO_EEENS_10bfloat16_tES2R_NS2J_6fusion15FusionCallbacksIS2N_NS2T_17LinearCombinationIS2S_fvfLNS_15FloatRoundStyleE2EEESK_S2P_JEEENS5_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_16dp256b8xES1M_NS1O_IS1Q_NS1R_ILi16EEENSR_INS6_IJS2O_S1T_EEENS6_IJSD_S2O_EEEEEEENS5_17SM75_U16x8_LDSM_TENS5_14SM90_TMA_STOREES37_NS5_17SM90_U16x8_STSM_TENS5_39AutoVectorizingCopyWithAssumedAlignmentILi128EEEEEEvvEEEEvNT_6ParamsE	aten::empty | aten::as_strided | aten::argmax | aten::copy_ | aten::sub	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[65]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
nvidia/DeepSeek-R1-0528-FP4-v2	sharegpt_mid	sharegpt	mid	5.1310	472	800.34	gemm	ok	True	void flashinfer::trtllm_dsv3_router_gemm::router_gemm_kernel<__nv_bfloat16, float, 128, 8, 16, 256, 7168>(float*, __nv_bfloat16 const*, __nv_bfloat16 const*)	sglang::flashinfer_dsv3_router_gemm | aten::slice	external_id=103335	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[16, 256], [16, 7168], [256, 7168]], ""Input Strides"": [[256, 1], [7168, 1], [7168, 1]], ""Input type"": [""float"", ""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/DeepSeek-R1-0528-FP4-v2	sharegpt_mid	sharegpt	mid	3.9629	928	314.40	quant_gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalINS1_17GroupProblemShapeIN4cute5tupleIJlllEEEEENS1_10collective13CollectiveMmaINS1_51MainloopSm100ArrayTmaUmmaWarpSpecializedBlockScaledILi7ELi8ELi2ENS6_IJiiNS5_1CILi1EEEEEENS_4arch5Sm100EEENS6_IJNSC_ILi128EEENSC_ILi64EEENSC_ILi256EEEEEENS6_IJNS_12float_e2m1_tENS_13float_ue4m3_tEEEENS6_IJPNS6_IJlSD_NSC_ILi0EEEEEEPNS5_6LayoutINS6_IJNS6_IJNS6_IJNSC_ILi32EEENSC_ILi4EEEEEEiEEENS6_IJNS6_IJNSC_ILi16EEESU_EEEiEEENS6_IJSD_iEEEEEENS6_IJSZ_NS6_IJNS6_IJSP_SD_EEENSC_ILi512EEEEEENS6_IJSP_iEEEEEEEEEEESO_S19_NS5_8TiledMMAINS5_8MMA_AtomIJNS5_17SM100_MMA_MXF4_SSISM_SM_fSN_Li128ELi64ELi16ELNS5_4UMMA5MajorE0ELS1E_0ELNS1D_7ScaleInE0ELS1F_0EEEEEENSS_INS6_IJSD_SD_SD_EEENS6_IJSP_SP_SP_EEEEENS6_IJNS5_10UnderscoreES1L_S1L_EEEEENS6_IJNS5_23SM90_TMA_LOAD_MULTICASTES1O_EEENS6_IJNS5_14ComposedLayoutINS5_7SwizzleILi3ELi4ELi3EEENS5_18smem_ptr_flag_bitsILi4EEENSS_INS6_IJNSC_ILi8EEESK_EEENS6_IJSK_SD_EEEEEEENSS_INS6_IJNS6_IJNS6_IJSV_SD_EEESY_EEESD_NS6_IJSD_SU_EEEEEENS6_IJNS6_IJNS6_IJSY_S13_EEES12_EEESP_NS6_IJSU_S13_EEEEEEEEEEEvNS5_8identityES1P_S29_vS2A_EENS_8epilogue10collective18CollectiveEpilogueINS2C_31Sm100PtrArrayTmaWarpSpecializedILi2ELi2ELi32ELb0ELb0EEEJSL_NS6_IJNSS_ISI_SD_EENSS_IST_SD_EEEEEvSR_NS_10bfloat16_tESR_NS2C_6fusion15FusionCallbacksIS2G_NS2L_17LinearCombinationIS2K_fvfLNS_15FloatRoundStyleE2EEESL_S2J_JEEENS5_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b32xENS5_13SM90_TMA_LOADENS1Q_INS1R_ILi2ELi4ELi3EEENS1T_ILi16EEENSS_INS6_IJS1V_ST_EEENS6_IJST_SD_EEEEEEENS5_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS5_14SM90_TMA_STOREES31_S33_S33_EEEvvEEEEvNT_6ParamsE	aten::copy_ | nccl:all_reduce | sglang::fp4_gemm | aten::mm | aten::sum	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[5333, 7168]], ""Input Strides"": [[7168, 1]], ""Input type"": [""c10::BFloat16""]}"
nvidia/DeepSeek-R1-0528-FP4-v2	sharegpt_mid	sharegpt	mid	3.4974	496	519.14	gemm	ok	True	void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, int)	sgl_kernel::dsv3_fused_a_gemm | aten::copy_	external_id=142013	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[6, 2112], [6, 7168], [7168, 2112]], ""Input Strides"": [[2112, 1], [7168, 1], [1, 7168]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/DeepSeek-R1-0528-FP4-v2	sharegpt_mid	sharegpt	mid	3.2299	496	479.43	quant_gemm	ok	True	nvjet_sm100_tst_64x40_64x16_1x2_h_bz_splitK_TNT	aten::mm | aten::empty_strided	external_id=148519	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[65, 7168], [7168, 2112]], ""Input Strides"": [[7168, 1], [1, 7168]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/DeepSeek-R1-0528-FP4-v2	sharegpt_mid	sharegpt	mid	3.1752	496	471.31	gemm	ok	True	void fused_a_gemm_kernel<1, 2112, 7168, 16, 16, 256, 12>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, int)	sgl_kernel::dsv3_fused_a_gemm | aten::empty	external_id=110140	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[16, 2112], [16, 7168], [7168, 2112]], ""Input Strides"": [[2112, 1], [7168, 1], [1, 7168]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/DeepSeek-R1-0528-FP4-v2	sharegpt_mid	sharegpt	mid	2.9684	1218	179.43	quant_gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalINS1_17GroupProblemShapeIN4cute5tupleIJlllEEEEENS1_10collective13CollectiveMmaINS1_51MainloopSm100ArrayTmaUmmaWarpSpecializedBlockScaledILi3ELi8ELi1ENS6_IJiiNS5_1CILi1EEEEEENS_4arch5Sm100EEENS6_IJNSC_ILi128EEENSC_ILi256EEESJ_EEENS6_IJNS_12float_e2m1_tENS_13float_ue4m3_tEEEENS6_IJPNS6_IJlSD_NSC_ILi0EEEEEEPNS5_6LayoutINS6_IJNS6_IJNS6_IJNSC_ILi32EEENSC_ILi4EEEEEEiEEENS6_IJNS6_IJNSC_ILi16EEEST_EEEiEEENS6_IJSD_iEEEEEENS6_IJSY_NS6_IJNS6_IJSO_SD_EEENSC_ILi512EEEEEENS6_IJSO_iEEEEEEEEEEESN_S18_NS5_8TiledMMAINS5_8MMA_AtomIJNS5_17SM100_MMA_MXF4_SSISL_SL_fSM_Li128ELi256ELi16ELNS5_4UMMA5MajorE0ELS1D_0ELNS1C_7ScaleInE0ELS1E_0EEEEEENSR_INS6_IJSD_SD_SD_EEENS6_IJSO_SO_SO_EEEEENS6_IJNS5_10UnderscoreES1K_S1K_EEEEENS6_IJNS5_23SM90_TMA_LOAD_MULTICASTES1N_EEENS6_IJNS5_14ComposedLayoutINS5_7SwizzleILi3ELi4ELi3EEENS5_18smem_ptr_flag_bitsILi4EEENSR_INS6_IJNSC_ILi8EEESJ_EEENS6_IJSJ_SD_EEEEEEENSR_INS6_IJNS6_IJNS6_IJSU_SD_EEESX_EEESD_NS6_IJSD_ST_EEEEEENS6_IJNS6_IJNS6_IJSX_S12_EEES11_EEESO_NS6_IJST_S12_EEEEEEEEEEEvNS5_8identityES1O_NS6_IJS1Y_NSR_INS6_IJNS6_IJNS6_IJSU_NSC_ILi2EEEEEESX_EEESD_S21_EEENS6_IJS24_SO_NS6_IJST_NSC_ILi1024EEEEEEEEEEEEEEvS29_EENS_8epilogue10collective18CollectiveEpilogueINS2K_31Sm100PtrArrayTmaWarpSpecializedILi4ELi2ELi64ELb0ELb0EEEJSK_NS6_IJSI_NSC_ILi64EEEEEEvPNS6_IJSD_lSO_EEENS_10bfloat16_tES2S_NS2K_6fusion15FusionCallbacksIS2O_NS2U_17LinearCombinationIS2T_fvfLNS_15FloatRoundStyleE2EEESK_S2Q_JEEENS5_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_16dp256b8xENS5_13SM90_TMA_LOADENS1P_IS1R_NS1S_ILi16EEENSR_INS6_IJS2P_S1U_EEENS6_IJSD_S2P_EEEEEEENS5_17SM75_U16x8_LDSM_TENS5_14SM90_TMA_STOREES39_NS5_17SM90_U16x8_STSM_TENS5_39AutoVectorizingCopyWithAssumedAlignmentILi128EEEEEEvvEEEEvNT_6ParamsE	aten::copy_ | aten::_to_copy | aten::slice | aten::argmax | aten::empty	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""3"", ""0"", """", """", ""True"", """"], ""Input Dims"": [[32], [], [], [], [], [], []], ""Input Strides"": [[1], [], [], [], [], [], []], ""Input type"": [""int"", ""Scalar"", ""Scalar"", """", """", ""Scalar"", """"]}"
nvidia/DeepSeek-R1-0528-FP4-v2	sharegpt_mid	sharegpt	mid	2.9125	4328	49.55	moe	ok	True	void tensorrt_llm::kernels::cutlass_kernels::finalizeMoeRoutingKernel<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, (tensorrt_llm::kernels::cutlass_kernels::ScaleMode)1>(__nv_bfloat16 const*, __nv_bfloat16*, __nv_bfloat16 const*, float const*, int const*, int const*, long, long, long, int, int)	aten::resolve_neg | aten::linear | aten::copy_ | gloo:broadcast | aten::empty	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[5333, 7168], [2112, 7168], []], ""Input Strides"": [[7168, 1], [7168, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", """"]}"
