model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/DeepSeek-V3.2-NVFP4	random_high	random	high	6.8733	3388	35.68	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/2	external_id=38536	{}
nvidia/DeepSeek-V3.2-NVFP4	random_high	random	high	5.8600	754	136.69	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x16x512_s5_et128x16_m128x16x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::empty | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[104, 16], [104, 16], []], ""Input Strides"": [[2560, 1], [16, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	random_high	random	high	4.2821	476	158.22	quant_gemm	missing	True	nvjet_sm100_tst_64x16_64x16_2x4_2cta_h_bz_splitK_TNT	Torch-Compiled Region: 4/2	external_id=38536	{}
nvidia/DeepSeek-V3.2-NVFP4	random_high	random	high	3.6710	348	185.53	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x128x512_s3x3x3x3x1x3_et128x32_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dynB_sm100f	aten::empty | aten::mm	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[49408, 7168]"", ""15"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
nvidia/DeepSeek-V3.2-NVFP4	random_high	random	high	3.0990	406	134.25	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[100], [100], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	random_high	random	high	3.0824	754	71.90	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x16x512_s5_et128x16_m256x16x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[0], [0], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	random_high	random	high	3.0668	406	132.85	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x32x512u2_s4_et128x32_m128x32x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[100], [100], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	random_high	random	high	2.8372	1708	29.22	attention	ok	True	fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ32Kv128PersistentSwapsAbForGen	sglang::unified_attention_with_output | aten::copy_ | aten::as_strided | aten::select	external_id=44448	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[31], [31], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	random_high	random	high	2.7930	488	100.66	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT	aten::as_strided | aten::mm | aten::empty_strided	external_id=67849	"{""Concrete Inputs"": ["""", ""[32329, 32, 128]"", ""[8192, 256, 1]"", ""0""], ""Input Dims"": [[32329, 32, 256], [], [], []], ""Input Strides"": [[8192, 256, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
nvidia/DeepSeek-V3.2-NVFP4	random_high	random	high	2.4917	244	179.60	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16HQk192HV128SeparateQkvCausalVarSeqQ128Kv128PersistentContext	aten::as_strided | sglang::flashinfer_fp4_quantize | aten::mm | aten::view | nccl:all_reduce	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[448]"", ""[1]"", ""0""], ""Input Dims"": [[448], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
