model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/GLM-5-NVFP4	random_mid	random	mid	11.8210	936	306.89	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT	aten::mm	external_id=32195	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[16873, 4096], [4096, 6144]], ""Input Strides"": [[4096, 1], [1, 4096]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/GLM-5-NVFP4	random_mid	random	mid	6.9066	300	559.43	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x128x512u2_s3x3x3x3x1x3_et128x32_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dynB_sm100f	aten::empty | sglang::flashinfer_fp4_quantize | sglang::hadamard_transform	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[32]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
nvidia/GLM-5-NVFP4	random_mid	random	mid	5.5200	300	447.11	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x128x256u2_s6_et128x128_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::empty | aten::add_ | aten::copy_ | aten::mm	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[32]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
nvidia/GLM-5-NVFP4	random_mid	random	mid	4.7634	4960	23.34	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/2	external_id=10641	{}
nvidia/GLM-5-NVFP4	random_mid	random	mid	3.8384	1200	77.73	quant_gemm	missing	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x16x512u2_s5_et128x16_m128x16x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	Torch-Compiled Region: 4/2	external_id=10641	{}
nvidia/GLM-5-NVFP4	random_mid	random	mid	3.5505	600	143.79	moe	ok	True	void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	aten::empty | sglang::fp4_gemm | nccl:all_reduce	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[32]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
nvidia/GLM-5-NVFP4	random_mid	random	mid	3.2338	1050	74.84	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x8x512u2_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::add | aten::_index_put_impl_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", ""False"", ""False""], ""Input Dims"": [[2128, 202756], [], [32], [], []], ""Input Strides"": [[202756, 1], [], [1], [], []], ""Input type"": [""int"", """", ""int"", ""Scalar"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	random_mid	random	mid	3.1954	652	119.09	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign_0	aten::empty | aten::mm | sglang::fp4_gemm | aten::empty_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[16873, 2048], [2048, 4096]], ""Input Strides"": [[2048, 1], [1, 2048]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/GLM-5-NVFP4	random_mid	random	mid	2.4018	312	187.06	quant_gemm	ok	True	nvjet_sm100_tst_256x128_64x5_2x2_2cta_h_bz_TNT	aten::mm	external_id=34008	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[16873, 2048], [2048, 4096]], ""Input Strides"": [[2048, 1], [1, 2048]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/GLM-5-NVFP4	random_mid	random	mid	2.0255	2652	18.56	gemm	ok	True	kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm100Sm100BlockScaledPersistentDenseGemmKernel_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID1_0	sglang::fp4_gemm | aten::view	external_id=20168	"{""Concrete Inputs"": ["""", """", """", """", """", ""15"", ""6144""], ""Input Dims"": [[16873, 3072], [3072, 6144], [16896, 384], [384, 6144], [], [], []], ""Input Strides"": [[3072, 1], [1, 3072], [384, 1], [1, 384], [], [], []], ""Input type"": [""unsigned char"", ""unsigned char"", ""unsigned char"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar""]}"
