model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/GLM-5-NVFP4	sharegpt_high	sharegpt	high	13.1045	2496	266.41	attention	ok	True	fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ16Kv128PersistentSwapsAbForGen	aten::view	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[20784, 16, 576]""], ""Input Dims"": [[20784, 1, 16, 576], []], ""Input Strides"": [[9216, 9216, 576, 1], []], ""Input type"": [""c10::Float8_e4m3fn"", ""ScalarList""]}"
nvidia/GLM-5-NVFP4	sharegpt_high	sharegpt	high	10.1530	1872	275.21	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT	aten::transpose | aten::empty_strided | aten::copy_ | aten::as_strided | aten::empty_like	external_id=199415	"{""Concrete Inputs"": ["""", ""0"", ""1""], ""Input Dims"": [[20784, 16, 256], [], []], ""Input Strides"": [[4096, 256, 1], [], []], ""Input type"": [""c10::BFloat16"", ""Scalar"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	sharegpt_high	sharegpt	high	6.4478	600	545.29	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x128x512u2_s3x3x3x3x1x3_et128x32_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dynB_sm100f	aten::lift_fresh | aten::mm | aten::item | sglang::layernorm | aten::_local_scalar_dense	timestamp_enclosure	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[20784, 6144], [6144, 128]], ""Input Strides"": [[6144, 1], [1, 6144]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/GLM-5-NVFP4	sharegpt_high	sharegpt	high	5.1165	600	432.70	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x128x256u2_s6_et128x128_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::_local_scalar_dense | aten::sum | aten::pad	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""[]"", ""False"", """"], ""Input Dims"": [[60], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""Scalar"", """"]}"
nvidia/GLM-5-NVFP4	sharegpt_high	sharegpt	high	3.7339	5616	33.74	other	ok	True	void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)	sglang::hadamard_transform | aten::as_strided | aten::item | aten::arange	external_id=213671	"{""Concrete Inputs"": ["""", ""0.088388347648318447""], ""Input Dims"": [[20784, 32, 128], []], ""Input Strides"": [[4096, 128, 1], []], ""Input type"": [""c10::BFloat16"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	sharegpt_high	sharegpt	high	3.5716	4340	41.76	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/3	external_id=152077	{}
nvidia/GLM-5-NVFP4	sharegpt_high	sharegpt	high	3.5037	2400	74.08	moe	ok	True	void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	aten::_local_scalar_dense | aten::mm	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[]], ""Input Strides"": [[]], ""Input type"": [""long int""]}"
nvidia/GLM-5-NVFP4	sharegpt_high	sharegpt	high	3.0300	1272	120.87	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign_0	sgl_kernel::fast_topk_transform_fused | gloo:broadcast | aten::empty | nccl:all_reduce	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", """", """"], ""Input Dims"": [[20784, 20784], [20784], [20784, 2048], [60, 2896], [61], [20784]], ""Input Strides"": [[21040, 1], [1], [2048, 1], [2896, 1], [1], [1]], ""Input type"": [""float"", ""int"", ""int"", ""int"", ""int"", ""int""]}"
nvidia/GLM-5-NVFP4	sharegpt_high	sharegpt	high	2.6179	312	425.77	quant_gemm	ok	True	nvjet_sm100_tst_192x288_64x5_2x1_2cta_v_bz_TNT	aten::mm | aten::permute | aten::view	external_id=186891	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[20784, 6144], [6144, 2624]], ""Input Strides"": [[6144, 1], [1, 6144]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/GLM-5-NVFP4	sharegpt_high	sharegpt	high	2.5121	612	208.29	quant_gemm	missing	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	Torch-Compiled Region: 4/3	external_id=152077	{}
