model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/GLM-5-NVFP4	sharegpt_mid	sharegpt	mid	14.6545	628	548.45	comm	ok	True	ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)	record_param_comms | aten::empty_strided | aten::resize_ | triton_poi_fused_mul_unsqueeze_0	external_id=124329	"{""Concrete Inputs"": ["""", """", """", ""3"", """", ""[]"", ""[]"", ""0"", ""1"", ""4""], ""Input Dims"": [[[9962, 6144]], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[[6144, 1]], [], [], [], [], [], [], [], [], []], ""Input type"": [""TensorList"", """", """", ""Scalar"", """", ""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	sharegpt_mid	sharegpt	mid	9.9957	1560	150.60	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT	aten::permute | aten::mm	external_id=146393	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[9962, 4096], [4096, 6144]], ""Input Strides"": [[4096, 1], [1, 4096]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/GLM-5-NVFP4	sharegpt_mid	sharegpt	mid	8.3889	312	631.95	attention	ok	True	fmhaSm100fKernel_QkvE4m3OBfloat16HQk576HV512PagedKvDenseStaticTokenSparseP1VarSeqQ16Kv128PersistentSwapsAbForGen	gloo:broadcast | aten::_local_scalar_dense | aten::view | aten::empty | sglang::flashinfer_fp4_quantize	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[201]], ""Input Strides"": [[1]], ""Input type"": [""unsigned char""]}"
nvidia/GLM-5-NVFP4	sharegpt_mid	sharegpt	mid	6.6719	4960	31.62	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 4, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 4/3	external_id=109949	{}
nvidia/GLM-5-NVFP4	sharegpt_mid	sharegpt	mid	5.9556	4896	28.59	quant_gemm	missing	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	Torch-Compiled Region: 4/3	external_id=109949	{}
nvidia/GLM-5-NVFP4	sharegpt_mid	sharegpt	mid	4.5582	300	357.11	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x128x512u2_s3x3x3x3x1x3_et128x32_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_fCp_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_lbW4_lsfbW4_dynB_sm100f	gloo:broadcast | aten::as_strided | aten::view | aten::sum | sglang::hadamard_transform	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[201]], ""Input Strides"": [[1]], ""Input type"": [""unsigned char""]}"
nvidia/GLM-5-NVFP4	sharegpt_mid	sharegpt	mid	3.6606	300	286.79	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_Ab16_Bb16_t128x128x256u2_s6_et128x128_m256x128x64_c2x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	gloo:broadcast | aten::as_strided | aten::view | nccl:all_reduce | aten::squeeze	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[201]], ""Input Strides"": [[1]], ""Input type"": [""unsigned char""]}"
nvidia/GLM-5-NVFP4	sharegpt_mid	sharegpt	mid	3.3719	1125	70.45	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x16x512u2_s5_et128x16_m128x16x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::add | aten::copy_ | aten::view	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[31], [31], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	sharegpt_mid	sharegpt	mid	3.2938	1050	73.73	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_Ab16_Bb16_Cb16_t128x8x512u2_s5_et128x8_m128x8x64_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[31], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	sharegpt_mid	sharegpt	mid	2.7334	5616	11.44	other	ok	True	void (anonymous namespace)::fast_hadamard_transform_kernel<(anonymous namespace)::FastHadamardKernelTraits<16, 7, __nv_bfloat16> >(HadamardParamsBase)	aten::as_strided | sglang::hadamard_transform	external_id=146889	"{""Concrete Inputs"": ["""", ""0.088388347648318447""], ""Input Dims"": [[9962, 32, 128], []], ""Input Strides"": [[4096, 128, 1], []], ""Input type"": [""c10::BFloat16"", ""Scalar""]}"
nvidia/GLM-5-NVFP4	sharegpt_mid	sharegpt	mid	2.1659	300	169.68	moe	ok	True	void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	gloo:broadcast | aten::view | sglang::hadamard_transform | aten::mm | nccl:all_reduce	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
nvidia/GLM-5-NVFP4	sharegpt_mid	sharegpt	mid	2.0303	652	73.19	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign128o614461441_tensorptrbf16gmemalign_0	aten::mm | aten::view | sglang::flashinfer_fp4_quantize | gloo:broadcast | nccl:all_reduce	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[-1, 1]""], ""Input Dims"": [[9962, 32, 1], []], ""Input Strides"": [[32, 1, 1], []], ""Input type"": [""float"", ""ScalarList""]}"
