model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
zai-org/GLM-5.2-FP8	random_high	random	high	16.5054	1824	641.88	moe_comm	ok	True	void deep_ep::intranode::combine<__nv_bfloat16, 8, 768, 4096>(__nv_bfloat16*, float*, __nv_bfloat16 const*, float const*, __nv_bfloat16 const*, __nv_bfloat16 const*, int const*, int const*, int const*, int*, int, int, int, int, void**, int, int, int)	aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[8, 10]"", ""3"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
zai-org/GLM-5.2-FP8	random_high	random	high	13.5405	1824	526.57	moe_comm	ok	True	void deep_ep::intranode::notify_dispatch<8>(int const*, int*, int const*, int*, int, int, int, bool const*, int*, int*, int, int, void**, int**, int)	aten::empty | aten::record_stream | aten::_to_copy	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[8, 10]"", ""3"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
zai-org/GLM-5.2-FP8	random_high	random	high	10.7718	1824	418.90	moe_comm	ok	True	void deep_ep::intranode::dispatch<8, 768, 8192>(int4*, float*, int*, long*, float*, int*, int*, int4 const*, float const*, long const*, float const*, bool const*, int const*, int, int, int, int, int, int, int, int, void**, int, int, int)	aten::empty | aten::record_stream	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[8, 10]"", ""3"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
zai-org/GLM-5.2-FP8	random_high	random	high	7.0662	1824	274.80	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 4096u, 6144u, 128u, 128u, 128u, 32u, 128u, 128u, 128u, 8u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)1, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	aten::empty | sgl_kernel::sgl_per_token_group_quant_8bit_v2 | aten::empty_like | aten::view | aten::empty_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[23345, 6144]"", ""15"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
zai-org/GLM-5.2-FP8	random_high	random	high	6.5387	3648	127.14	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 4096u, 6144u, 128u, 128u, 128u, 32u, 128u, 128u, 128u, 8u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)2, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	aten::copy_ | aten::empty | aten::empty_strided | aten::mm	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[20], [20], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
zai-org/GLM-5.2-FP8	random_high	random	high	3.8704	1824	150.51	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 6144u, 2048u, 128u, 128u, 128u, 32u, 128u, 128u, 128u, 8u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)1, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	sglang::deep_gemm_fp8_fp8_bf16_nt | aten::view | aten::t | aten::mm | aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[-1, 64, 256]""], ""Input Dims"": [[3868, 64, 256], []], ""Input Strides"": [[16384, 256, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
zai-org/GLM-5.2-FP8	random_high	random	high	3.5820	3648	69.65	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 6144u, 2048u, 128u, 128u, 128u, 32u, 128u, 128u, 128u, 8u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)2, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	aten::view | sgl_kernel::verify_tree_greedy | aten::empty_strided | aten::copy_ | aten::sub	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """"], ""Input Dims"": [[18], [9, 2], [9], [9, 2], [9, 2], [9, 2], [9, 2], [9, 2]], ""Input Strides"": [[1], [2, 1], [1], [2, 1], [2, 1], [2, 1], [2, 1], [2, 1]], ""Input type"": [""int"", ""int"", ""int"", ""long int"", ""long int"", ""long int"", ""long int"", ""long int""]}"
zai-org/GLM-5.2-FP8	random_high	random	high	3.0210	1824	117.48	moe_comm	ok	True	void deep_ep::intranode::cached_notify_combine<8>(void**, int*, int, int, int, int**, int)	sglang::_jit_grouped_topk_op | aten::alias | sgl_kernel::sgl_per_token_group_quant_8bit_v2 | aten::as_strided | aten::record_stream	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[3880, 12]], ""Input Strides"": [[1, 3880]], ""Input type"": [""int""]}"
zai-org/GLM-5.2-FP8	random_high	random	high	2.6467	11415	16.45	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 16u, 128u, 128u, 1u, 128u, 128u, 128u, 12u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	aten::copy_ | aten::mm	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[18], [18], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
zai-org/GLM-5.2-FP8	random_high	random	high	2.1357	1467	103.27	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 240u, 128u, 128u, 1u, 128u, 128u, 128u, 6u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	aten::record_stream | aten::view | aten::new_zeros | aten::to | aten::as_strided	external_id=80800	"{""Concrete Inputs"": ["""", ""[8, 1, 19360]""], ""Input Dims"": [[8, 19360], []], ""Input Strides"": [[19360, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
