model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
openai/gpt-oss-120b	sharegpt_high	sharegpt	high	21.3961	4544	31.56	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 1/3 | aten::as_strided | aten::view	external_id=41373	"{""Concrete Inputs"": ["""", ""[192, 1, 64]"", ""[640, 64, 1]"", ""0""], ""Input Dims"": [[192, 1, 64], [], [], []], ""Input Strides"": [[640, 64, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
openai/gpt-oss-120b	sharegpt_high	sharegpt	high	8.0664	616	87.75	comm	ok	True	void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::distributed::AllReduceData const*, (anonymous namespace)::AllReduceParams, device::distributed::PullController)	aten::as_strided | Torch-Compiled Region: 1/2 | Torch-Compiled Region: 1/3	external_id=43327	{}
openai/gpt-oss-120b	sharegpt_high	sharegpt	high	5.6473	576	65.70	quant_gemm	missing	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_bias_TNN	Torch-Compiled Region: 1/3	external_id=37154	{}
openai/gpt-oss-120b	sharegpt_high	sharegpt	high	4.3217	1440	20.11	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x4_h_bz_bias_TNT	aten::cat | aten::_unique2 | aten::as_strided | aten::to | aten::index	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""True"", ""False"", ""False""], ""Input Dims"": [[60], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""int"", ""Scalar"", ""Scalar"", ""Scalar""]}"
openai/gpt-oss-120b	sharegpt_high	sharegpt	high	3.8797	1440	18.06	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_1x2_h_bz_bias_TNT	aten::cat | aten::gt | aten::empty_strided | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[93], []], ""Input Strides"": [[1], []], ""Input type"": [""long int"", ""Scalar""]}"
openai/gpt-oss-120b	sharegpt_high	sharegpt	high	3.7952	288	88.31	quant_gemm	ok	True	nvjet_sm100_tst_64x32_64x16_2x4_2cta_h_bz_splitK_bias_TNT	aten::as_strided | Torch-Compiled Region: 1/3	external_id=41373	"{""Concrete Inputs"": ["""", ""[192, 1, 64]"", ""[640, 64, 1]"", ""0""], ""Input Dims"": [[192, 1, 64], [], [], []], ""Input Strides"": [[640, 64, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
openai/gpt-oss-120b	sharegpt_high	sharegpt	high	3.7456	1368	18.35	quant_gemm	ok	True	bmm_Bfloat16_MxE2m1MxE4m3_Fp32_Ab32_Bb32_t128x8x256_s4_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::cat | aten::copy_ | aten::slice | aten::_to_copy	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[384], [384], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""int"", ""Scalar""]}"
openai/gpt-oss-120b	sharegpt_high	sharegpt	high	3.0504	288	70.98	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x2_2cta_h_bz_splitK_bias_TNN	aten::view | Torch-Compiled Region: 1/3	external_id=39245	{}
openai/gpt-oss-120b	sharegpt_high	sharegpt	high	2.7687	792	23.43	quant_gemm	ok	True	bmm_MxE4m3_MxE2m1MxE4m3_Fp32_Ab32_Bb32_Cb32_t128x8x512_s3_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_tma_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::as_strided | aten::floor_divide	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[5]"", ""[1]"", ""152310568""], ""Input Dims"": [[261], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
openai/gpt-oss-120b	sharegpt_high	sharegpt	high	2.5507	576	29.68	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H64PagedKvCausalP64VarSeqQ128Kv128PersistentContext	aten::view | sglang::unified_attention_with_output | aten::index_put_	external_id=43902	"{""Concrete Inputs"": ["""", ""[-1, 64]""], ""Input Dims"": [[2373, 1, 64], []], ""Input Strides"": [[640, 64, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
