model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
openai/gpt-oss-120b	sharegpt_low	sharegpt	low	27.1116	5184	15.30	quant_gemm	missing	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_bias_TNN	Torch-Compiled Region: 1/3	external_id=22290	{}
openai/gpt-oss-120b	sharegpt_low	sharegpt	low	24.0008	5112	13.73	comm	missing	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	Torch-Compiled Region: 1/3	external_id=22290	{}
openai/gpt-oss-120b	sharegpt_low	sharegpt	low	3.0801	2592	3.48	quant_gemm	missing	True	void tensorrt_llm::kernels::quantize_with_block_size<(tensorrt_llm::BlockScaleQuantizationType)2, __nv_bfloat16, 32, true, false, false, false, std::integral_constant<bool, false> >(int, int, int, int, __nv_bfloat16 const*, float const*, void*, unsigned int*, flashinfer::QuantizationSFLayout)	Torch-Compiled Region: 1/3	external_id=22290	{}
openai/gpt-oss-120b	sharegpt_low	sharegpt	low	2.9883	2592	3.37	moe	missing	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	Torch-Compiled Region: 1/3	external_id=22290	{}
openai/gpt-oss-120b	sharegpt_low	sharegpt	low	2.9626	1152	7.52	quant_gemm	ok	True	bmm_MxE4m3_MxE2m1MxE4m3_Fp32_Ab32_Bb32_Cb32_t128x16x256u2_s6_et128x16_m256x16x32_c2x1x1_rM_TN_transOut_schedS_biasFp32M_bN_tma_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::resolve_neg | aten::as_strided | gloo:broadcast | aten::_index_put_impl_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
openai/gpt-oss-120b	sharegpt_low	sharegpt	low	2.9323	1152	7.45	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H64PagedKvCausalP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen	aten::as_strided | aten::argmax | aten::add | aten::cat	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[0], [15]], []], ""Input Strides"": [[[1], [1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
openai/gpt-oss-120b	sharegpt_low	sharegpt	low	2.6828	2016	3.89	quant_gemm	ok	True	nvjet_sm100_tst_24x64_64x16_4x1_v_bz_TNN	aten::as_strided | aten::_to_copy | aten::add | gloo:broadcast | aten::view	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[1], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
openai/gpt-oss-120b	sharegpt_low	sharegpt	low	2.6085	2304	3.31	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 128, 4, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> > >(moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 128, 4, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> >)	aten::argmax | aten::view | aten::as_strided | aten::add | aten::_index_put_impl_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[]""], ""Input Dims"": [[1], []], ""Input Strides"": [[1], []], ""Input type"": [""long int"", ""ScalarList""]}"
openai/gpt-oss-120b	sharegpt_low	sharegpt	low	2.4248	1152	6.16	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H64PagedKvSlidingOrChunkedCausalP64VarSeqQ8Kv128PersistentSwapsAbForGen	aten::argmax | aten::as_strided | aten::empty | aten::index	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[1, 201088], [], []], ""Input Strides"": [[201088, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
openai/gpt-oss-120b	sharegpt_low	sharegpt	low	2.4115	2592	2.72	rope	missing	True	void (anonymous namespace)::fused_rope_kernel<true, 64l, true, __nv_bfloat16, long, 8u>((anonymous namespace)::FusedRopeParams)	Torch-Compiled Region: 1/3	external_id=22290	{}
openai/gpt-oss-120b	sharegpt_low	sharegpt	low	2.2634	864	7.66	quant_gemm	ok	True	bmm_MxE4m3_MxE2m1MxE4m3_Fp32_Ab32_Bb32_Cb32_t128x16x256_s5_et128x16_m256x16x32_c2x1x1_rM_TN_transOut_schedS_biasFp32M_bN_tma_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::resolve_neg | aten::argmax | aten::_local_scalar_dense | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[1, 201088], [], []], ""Input Strides"": [[201088, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
