model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
moonshotai/Kimi-K2-Instruct	random_low	random	low	13.4891	16592	6.67	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 16u, 128u, 128u, 1u, 128u, 128u, 128u, 12u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	sglang::unified_attention_with_output | aten::slice | aten::copy_ | aten::narrow	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""4"", """", """", """", """", """", """", """"], ""Input Dims"": [[48, 8, 512], [48, 1, 512], [48, 1, 512], [48, 4096], [], [], [48, 8, 64], [48, 1, 64], [], [], [], [], []], ""Input Strides"": [[512, 24576, 1], [512, 512, 1], [512, 512, 1], [4096, 1], [], [], [1536, 192, 1], [2112, 64, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", """", """", """", """"]}"
moonshotai/Kimi-K2-Instruct	random_low	random	low	12.6440	21960	4.72	quant_gemm	ok	True	void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, true, true, false, unsigned int>(__nv_bfloat16 const*, c10::Float8_e4m3fn*, unsigned int*, int const*, int, int, int, int, int)	sglang::unified_attention_with_output | aten::copy_ | aten::view | aten::narrow	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""2"", """", """", """", """", """", """", """"], ""Input Dims"": [[48, 8, 512], [48, 1, 512], [48, 1, 512], [48, 4096], [], [], [48, 8, 64], [48, 1, 64], [], [], [], [], []], ""Input Strides"": [[512, 24576, 1], [512, 512, 1], [512, 512, 1], [4096, 1], [], [], [1536, 192, 1], [2112, 64, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", """", """", """", """"]}"
moonshotai/Kimi-K2-Instruct	random_low	random	low	11.1065	8712	10.45	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	sglang::unified_attention_with_output | aten::copy_ | aten::slice | aten::narrow	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""2"", """", """", """", """", """", """", """"], ""Input Dims"": [[48, 8, 512], [48, 1, 512], [48, 1, 512], [48, 4096], [], [], [48, 8, 64], [48, 1, 64], [], [], [], [], []], ""Input Strides"": [[512, 24576, 1], [512, 512, 1], [512, 512, 1], [4096, 1], [], [], [1536, 192, 1], [2112, 64, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", """", """", """", """"]}"
moonshotai/Kimi-K2-Instruct	random_low	random	low	6.8667	3360	16.76	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x16x128u2_s6_et64x16_m64x16x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schedS_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	gloo:broadcast | aten::_local_scalar_dense | aten::copy_ | aten::_index_put_impl_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2-Instruct	random_low	random	low	5.7282	3904	12.03	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16HQk576HV512HVPerCta256PagedKvDenseP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen	c10d::broadcast_ | aten::resolve_neg | aten::argmax | detach_	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[1, 163840], [], []], ""Input Strides"": [[163840, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	random_low	random	low	5.3319	3904	11.20	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 32u, 16u, 128u, 1u, 128u, 128u, 32u, 32u, 128u, 128u, 1u, false, 148u, false, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	gloo:broadcast | aten::cat | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2-Instruct	random_low	random	low	3.5418	2400	12.10	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x16x128u2_s6_et64x16_m64x16x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schedS_bN_rgTma_clmp_dynB_sm100f	gloo:broadcast | aten::_local_scalar_dense | aten::copy_ | aten::sub	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2-Instruct	random_low	random	low	3.4138	3840	7.29	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 384, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> > >(moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 384, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> >)	aten::copy_ | gloo:broadcast | aten::add | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2-Instruct	random_low	random	low	2.7489	300	75.13	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x8x128u2_s8_et64x8_m64x8x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	aten::as_strided | aten::copy_ | aten::narrow | aten::_foreach_copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	random_low	random	low	2.4225	3840	5.17	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	aten::copy_ | aten::add | aten::view | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
