model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
moonshotai/Kimi-K2-Instruct	sharegpt_high	sharegpt	high	13.1191	1440	238.86	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW4_dynB_sm100f	aten::as_strided | aten::empty_strided | detach_ | aten::narrow | aten::cat	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[448]"", ""[1]"", ""0""], ""Input Dims"": [[448], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_high	sharegpt	high	10.5686	1680	164.94	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x32x128u2_s6_et64x32_m64x32x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schedS_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[98], [98], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_high	sharegpt	high	10.2725	2904	92.74	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_twoshot_sync<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>, std::array<int, 8>, std::array<int, 8>)	aten::copy_ | sglang::unified_attention_with_output	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[573, 4096], [573, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_high	sharegpt	high	6.1646	21960	7.36	quant_gemm	ok	True	void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, true, true, false, unsigned int>(__nv_bfloat16 const*, c10::Float8_e4m3fn*, unsigned int*, int const*, int, int, int, int, int)	sglang::unified_attention_with_output | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""1"", """", """", """", """", """", """", """"], ""Input Dims"": [[16, 8, 512], [16, 1, 512], [16, 1, 512], [16, 4096], [], [], [16, 8, 64], [16, 1, 64], [], [], [], [], []], ""Input Strides"": [[512, 8192, 1], [512, 512, 1], [512, 512, 1], [4096, 1], [], [], [1536, 192, 1], [2112, 64, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", """", """", """", """"]}"
moonshotai/Kimi-K2-Instruct	sharegpt_high	sharegpt	high	5.2228	5808	23.58	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	sglang::unified_attention_with_output | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""1"", """", """", """", """", """", """", """"], ""Input Dims"": [[16, 8, 512], [16, 1, 512], [16, 1, 512], [16, 4096], [], [], [16, 8, 64], [16, 1, 64], [], [], [], [], []], ""Input Strides"": [[512, 8192, 1], [512, 512, 1], [512, 512, 1], [4096, 1], [], [], [1536, 192, 1], [2112, 64, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", """", """", """", """"]}"
moonshotai/Kimi-K2-Instruct	sharegpt_high	sharegpt	high	4.8382	840	151.01	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x64x128_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | sglang::unified_attention_with_output | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""7"", """", """", """", """", """", """", """"], ""Input Dims"": [[1536, 8, 512], [1536, 1, 512], [1536, 1, 512], [1536, 4096], [], [], [1536, 8, 64], [1536, 1, 64], [], [], [], [], []], ""Input Strides"": [[512, 786432, 1], [512, 512, 1], [512, 512, 1], [4096, 1], [], [], [1536, 192, 1], [2112, 64, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", """", """", """", """"]}"
moonshotai/Kimi-K2-Instruct	sharegpt_high	sharegpt	high	4.7912	1952	64.35	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16HQk576HV512PagedKvDenseP64VarSeqQ8Kv128PersistentSwapsAbForGen	aten::as_strided | aten::copy_ | aten::resolve_neg	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[512]"", ""[1]"", ""0""], ""Input Dims"": [[512], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_high	sharegpt	high	4.6962	2440	50.46	attention	ok	True	void flashinfer::mla::BatchMLAPagedAttentionKernel<flashinfer::mla::KernelTraits<true, 2u, true, 512u, 64u, 64u, 64u, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>, flashinfer::MLAParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int> >(flashinfer::MLAParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>)	sglang::unified_attention_with_output	external_id=97300	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""15"", """", """", """", """", """", """", """"], ""Input Dims"": [[1536, 8, 512], [1536, 1, 512], [1536, 1, 512], [1536, 4096], [], [], [1536, 8, 64], [1536, 1, 64], [], [], [], [], []], ""Input Strides"": [[512, 786432, 1], [512, 512, 1], [512, 512, 1], [4096, 1], [], [], [1536, 192, 1], [2112, 64, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", """", """", """", """"]}"
moonshotai/Kimi-K2-Instruct	sharegpt_high	sharegpt	high	3.9683	1200	86.70	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x32x128_s6_et64x32_m64x32x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[2], [2], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long unsigned int"", ""long unsigned int"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_high	sharegpt	high	3.6468	600	159.35	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | sglang::unified_attention_with_output | aten::slice	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""11"", """", """", """", """", """", """", """"], ""Input Dims"": [[1536, 8, 512], [1536, 1, 512], [1536, 1, 512], [1536, 4096], [], [], [1536, 8, 64], [1536, 1, 64], [], [], [], [], []], ""Input Strides"": [[512, 786432, 1], [512, 512, 1], [512, 512, 1], [4096, 1], [], [], [1536, 192, 1], [2112, 64, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", """", """", """", """"]}"
