model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
moonshotai/Kimi-K2-Instruct	sharegpt_low	sharegpt	low	14.7894	17568	6.58	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 16u, 128u, 128u, 1u, 128u, 128u, 128u, 12u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	gloo:broadcast | aten::_local_scalar_dense | c10d::broadcast_ | sglang::unified_attention_with_output	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_low	sharegpt	low	12.5856	21960	4.48	quant_gemm	ok	True	void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, true, true, false, unsigned int>(__nv_bfloat16 const*, c10::Float8_e4m3fn*, unsigned int*, int const*, int, int, int, int, int)	aten::copy_ | sglang::unified_attention_with_output | aten::cat	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""1"", """", """", """", """", """", """", """"], ""Input Dims"": [[16, 8, 512], [16, 1, 512], [16, 1, 512], [16, 4096], [], [], [16, 8, 64], [16, 1, 64], [], [], [], [], []], ""Input Strides"": [[512, 8192, 1], [512, 512, 1], [512, 512, 1], [4096, 1], [], [], [1536, 192, 1], [2112, 64, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", """", """", """", """"]}"
moonshotai/Kimi-K2-Instruct	sharegpt_low	sharegpt	low	10.6442	8712	9.56	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::copy_ | sglang::unified_attention_with_output | aten::slice	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""1"", """", """", """", """", """", """", """"], ""Input Dims"": [[16, 8, 512], [16, 1, 512], [16, 1, 512], [16, 4096], [], [], [16, 8, 64], [16, 1, 64], [], [], [], [], []], ""Input Strides"": [[512, 8192, 1], [512, 512, 1], [512, 512, 1], [4096, 1], [], [], [1536, 192, 1], [2112, 64, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", """", """", """", """"]}"
moonshotai/Kimi-K2-Instruct	sharegpt_low	sharegpt	low	7.1971	3360	16.75	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x16x128u2_s6_et64x16_m64x16x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schedS_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	gloo:broadcast | aten::copy_ | aten::as_strided | aten::view | aten::_local_scalar_dense	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_low	sharegpt	low	6.2481	4392	11.13	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 32u, 16u, 128u, 1u, 128u, 128u, 32u, 32u, 128u, 128u, 1u, false, 148u, false, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	gloo:broadcast | aten::_to_copy	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_low	sharegpt	low	6.0080	3904	12.04	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16HQk576HV512HVPerCta256PagedKvDenseP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen	detach_ | c10d::broadcast_ | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""0"", ""0"", ""False"", ""-1""], ""Input Dims"": [[[1]], [], [], [], [], []], ""Input Strides"": [[[1]], [], [], [], [], []], ""Input type"": [""TensorList"", """", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_low	sharegpt	low	3.7115	2400	12.10	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x16x128u2_s6_et64x16_m64x16x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schedS_bN_rgTma_clmp_dynB_sm100f	gloo:broadcast | aten::_local_scalar_dense | aten::sub | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_low	sharegpt	low	3.5801	3840	7.29	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 384, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> > >(moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 384, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> >)	aten::as_strided | aten::copy_ | aten::add | aten::view | aten::sub	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1]"", ""[1]"", ""0""], ""Input Dims"": [[1], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_low	sharegpt	low	2.9053	4320	5.26	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	aten::copy_ | aten::as_strided | aten::view | aten::fill_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1]"", ""[1]"", ""0""], ""Input Dims"": [[1], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_low	sharegpt	low	2.3275	4320	4.21	moe	ok	True	void moe::dev::activation::activationDeepSeekKernel<moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 1, true> >(moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 1, true>)	aten::copy_ | gloo:broadcast | sglang::unified_attention_with_output | aten::slice	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[15, 4096], [15, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
