model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
moonshotai/Kimi-K2-Instruct	sharegpt_mid	sharegpt	mid	11.0422	960	342.07	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW4_dynB_sm100f	sglang::trtllm_fp8_block_scale_moe_wrapper	external_id=71235	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""384"", ""8"", ""1"", ""1"", ""256"", ""0"", ""384"", ""2.827"", ""2"", ""False"", ""0"", """", ""8192"", ""1"", ""3""], ""Input Dims"": [[7407, 384], [384], [7407, 7168], [56, 7407], [384, 512, 7168], [384, 4, 56], [384, 7168, 256], [384, 56, 2], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[384, 1], [1], [7168, 1], [7407, 1], [3670016, 7168, 1], [224, 56, 1], [1835008, 256, 1], [112, 2, 1], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_mid	sharegpt	mid	9.4794	3180	88.65	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x8x128u2_s8_et64x8_m64x8x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	aten::copy_ | aten::add	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_mid	sharegpt	mid	7.3895	600	366.26	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	sglang::trtllm_fp8_block_scale_moe_wrapper	external_id=79355	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""384"", ""8"", ""1"", ""1"", ""256"", ""0"", ""384"", ""2.827"", ""2"", ""False"", ""0"", """", ""8192"", ""1"", ""3""], ""Input Dims"": [[7407, 384], [384], [7407, 7168], [56, 7407], [384, 512, 7168], [384, 4, 56], [384, 7168, 256], [384, 56, 2], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[384, 1], [1], [7168, 1], [7407, 1], [3670016, 7168, 1], [224, 56, 1], [1835008, 256, 1], [112, 2, 1], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_mid	sharegpt	mid	6.2977	22936	8.17	quant_gemm	ok	True	void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, true, true, false, unsigned int>(__nv_bfloat16 const*, c10::Float8_e4m3fn*, unsigned int*, int const*, int, int, int, int, int)	sglang::unified_attention_with_output | aten::copy_ | sgl_kernel::sgl_per_token_group_quant_8bit_v2	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""2"", """", """", """", """", """", """", """"], ""Input Dims"": [[16, 8, 512], [16, 1, 512], [16, 1, 512], [16, 4096], [], [], [16, 8, 64], [16, 1, 64], [], [], [], [], []], ""Input Strides"": [[512, 8192, 1], [512, 512, 1], [512, 512, 1], [4096, 1], [], [], [1536, 192, 1], [2112, 64, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", ""c10::BFloat16"", ""c10::BFloat16"", """", """", """", """", """"]}"
moonshotai/Kimi-K2-Instruct	sharegpt_mid	sharegpt	mid	4.6468	2940	47.00	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x8x128u2_s8_et64x8_m64x8x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::add	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_mid	sharegpt	mid	3.2019	14144	6.73	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 16u, 128u, 128u, 1u, 128u, 128u, 128u, 12u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	aten::slice | aten::argmax | aten::lift_fresh | aten::as_strided | aten::to	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0"", ""0"", ""256"", ""1""], ""Input Dims"": [[280], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""long int"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_mid	sharegpt	mid	2.9682	6776	13.03	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	sglang::unified_attention_with_output | aten::copy_ | aten::slice	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0"", ""0"", ""15"", ""1""], ""Input Dims"": [[16, 1, 512], [], [], [], []], ""Input Strides"": [[512, 512, 1], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_mid	sharegpt	mid	2.5470	960	78.90	moe	ok	True	void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	sglang::trtllm_fp8_block_scale_moe_wrapper	external_id=72163	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""384"", ""8"", ""1"", ""1"", ""256"", ""0"", ""384"", ""2.827"", ""2"", ""False"", ""0"", """", ""8192"", ""1"", ""3""], ""Input Dims"": [[7407, 384], [384], [7407, 7168], [56, 7407], [384, 512, 7168], [384, 4, 56], [384, 7168, 256], [384, 56, 2], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[384, 1], [1], [7168, 1], [7407, 1], [3670016, 7168, 1], [224, 56, 1], [1835008, 256, 1], [112, 2, 1], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_mid	sharegpt	mid	2.3959	2928	24.33	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16HQk576HV512PagedKvDenseP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen	aten::copy_ | aten::resolve_neg | aten::_local_scalar_dense | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[320], [320], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""int"", ""Scalar""]}"
moonshotai/Kimi-K2-Instruct	sharegpt_mid	sharegpt	mid	2.1189	1024	61.54	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o716871681_tensorptrbf16gmemalign128o716871681_tensorptrbf16gmemalign_0	aten::empty | aten::as_strided | sglang::trtllm_fp8_block_scale_moe_wrapper | aten::mm | aten::view	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""384"", ""8"", ""1"", ""1"", ""256"", ""0"", ""384"", ""2.827"", ""2"", ""False"", ""0"", """", ""8192"", ""1"", ""3""], ""Input Dims"": [[7407, 384], [384], [7407, 7168], [56, 7407], [384, 512, 7168], [384, 4, 56], [384, 7168, 256], [384, 56, 2], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[384, 1], [1], [7168, 1], [7407, 1], [3670016, 7168, 1], [224, 56, 1], [1835008, 256, 1], [112, 2, 1], [], [], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar"", ""Scalar""]}"
