model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
moonshotai/Kimi-K2.7-Code	random_high	random	high	16.8567	7744	101.82	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	sglang::flashinfer_allreduce_residual_rmsnorm | aten::_local_scalar_dense	external_id=36480	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2.7-Code	random_high	random	high	12.9611	3360	180.43	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x32x256u2_s3_et128x32_m256x32x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	gloo:broadcast | aten::fill_ | aten::copy_ | aten::slice | aten::_foreach_copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[100], [100], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
moonshotai/Kimi-K2.7-Code	random_high	random	high	7.4419	3360	103.60	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x32x256_s3_et128x32_m256x32x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::as_strided | aten::_local_scalar_dense | aten::copy_ | gloo:broadcast | aten::slice	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[]], ""Input Strides"": [[]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2.7-Code	random_high	random	high	6.9069	488	662.02	quant_gemm	ok	True	nvjet_sm100_tst_64x24_64x16_1x2_h_bz_splitK_TNT	aten::mm | aten::item	external_id=37639	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[38, 7168], [7168, 2112]], ""Input Strides"": [[7168, 1], [1, 7168]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
moonshotai/Kimi-K2.7-Code	random_high	random	high	6.9039	112	2883.27	comm	ok	True	void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::distributed::AllReduceData const*, (anonymous namespace)::AllReduceParams, device::distributed::PullController)	aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[104]"", ""[1]"", ""0""], ""Input Dims"": [[104], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
moonshotai/Kimi-K2.7-Code	random_high	random	high	5.9545	480	580.24	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x2_h_bz_splitK_TNT	aten::mm | aten::to | aten::detach_	external_id=36602	"{""Concrete Inputs"": ["""", """", ""4"", ""False"", ""False"", """"], ""Input Dims"": [[1], [], [], [], [], []], ""Input Strides"": [[1], [], [], [], [], []], ""Input type"": [""long int"", """", ""Scalar"", ""Scalar"", ""Scalar"", """"]}"
moonshotai/Kimi-K2.7-Code	random_high	random	high	5.4490	480	530.99	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x32x256u2_s3_et128x32_m128x32x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::empty | aten::view | aten::copy_ | aten::slice | nccl:all_reduce	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[2957, 8]"", ""6"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
moonshotai/Kimi-K2.7-Code	random_high	random	high	3.1157	480	303.61	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x32x256_s3_et128x32_m128x32x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::empty | aten::t | aten::alias | aten::view | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[2112, 7168]], ""Input Strides"": [[7168, 1]], ""Input type"": [""c10::BFloat16""]}"
moonshotai/Kimi-K2.7-Code	random_high	random	high	2.4203	3416	33.14	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16HQk576HV512PagedKvDenseP64VarSeqQ8Kv128PersistentSwapsAbForGen	aten::copy_ | aten::as_strided | aten::cat	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[0], [0], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
moonshotai/Kimi-K2.7-Code	random_high	random	high	2.3167	3416	31.72	quant_gemm	ok	True	nvjet_sm100_tst_96x64_64x15_2x2_2cta_h_bz_splitK_TNN	aten::copy_ | aten::cat | aten::reshape | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""[100]""], ""Input Dims"": [[100], []], ""Input Strides"": [[1], []], ""Input type"": [""long int"", ""ScalarList""]}"
