model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
moonshotai/Kimi-K2.7-Code	random_low	random	low	30.4695	8712	50.00	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	sglang::flashinfer_allreduce_residual_rmsnorm | sglang::_run_activation_inplace | aten::view	external_id=8944	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[], [38, 512], [38, 256]], ""Input Strides"": [[], [512, 1], [256, 1]], ""Input type"": ["""", ""c10::BFloat16"", ""c10::BFloat16""]}"
moonshotai/Kimi-K2.7-Code	random_low	random	low	13.4258	488	393.35	quant_gemm	ok	True	nvjet_sm100_tst_64x24_64x16_1x2_h_bz_splitK_TNT	aten::mm | aten::view	external_id=8961	"{""Concrete Inputs"": ["""", ""[-1]""], ""Input Dims"": [[38, 7168], []], ""Input Strides"": [[7168, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
moonshotai/Kimi-K2.7-Code	random_low	random	low	11.5750	480	344.78	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x2_h_bz_splitK_TNT	aten::mm | aten::view	external_id=1596	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[38, 7168], [7168, 384]], ""Input Strides"": [[7168, 1], [1, 7168]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
moonshotai/Kimi-K2.7-Code	random_low	random	low	3.7022	3904	13.56	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16HQk576HV512HVPerCta256PagedKvDenseP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen	c10d::broadcast_ | gloo:broadcast | detach_ | aten::resolve_neg	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2.7-Code	random_low	random	low	3.3571	3840	12.50	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | aten::sub | gloo:broadcast | aten::as_strided | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
moonshotai/Kimi-K2.7-Code	random_low	random	low	3.3283	11712	4.06	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT	gloo:broadcast | aten::argmax | aten::_index_put_impl_ | aten::copy_ | c10d::broadcast_	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[1, 163840], [], []], ""Input Strides"": [[163840, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
moonshotai/Kimi-K2.7-Code	random_low	random	low	3.1990	3904	11.72	gemm	ok	True	void fused_a_gemm_kernel<1, 2112, 7168, 16, 8, 256, 16>(__nv_bfloat16*, __nv_bfloat16 const*, __nv_bfloat16 const*, int)	gloo:broadcast | aten::as_strided | aten::copy_ | aten::view	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 1]"", ""[1, 0]"", """"], ""Input Dims"": [[1], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", """"]}"
moonshotai/Kimi-K2.7-Code	random_low	random	low	2.4673	1440	24.50	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x16x256u2_s3_et128x16_m256x16x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::index | gloo:broadcast | aten::_local_scalar_dense	timestamp_enclosure	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[2049, 262148], []], ""Input Strides"": [[262148, 1], []], ""Input type"": [""int"", """"]}"
moonshotai/Kimi-K2.7-Code	random_low	random	low	2.4489	1440	24.32	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x16x256_s3_et128x16_m256x16x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_biasBfloat16Mn_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	gloo:broadcast | aten::empty | aten::copy_ | aten::as_strided | aten::empty_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-K2.7-Code	random_low	random	low	2.3652	480	70.45	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x16x256u2_s3_et128x16_m256x16x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_biasBfloat16Mn_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::empty | aten::view | aten::alias | gloo:broadcast	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[38, 7168]], ""Input Strides"": [[7168, 1]], ""Input type"": [""c10::BFloat16""]}"
moonshotai/Kimi-K2.7-Code	random_low	random	low	2.1970	3840	8.18	quant_gemm	ok	True	bmm_Bfloat16_MxInt4Bfloat16_castBfloat16_Fp32_Ab32_t128x16x256_s3_et128x16_m128x16x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::add | aten::copy_ | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[1], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
moonshotai/Kimi-K2.7-Code	random_low	random	low	2.0075	144	199.32	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 8u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	aten::as_strided | aten::copy_ | aten::expand	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[0], [0], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""int"", ""Scalar""]}"
moonshotai/Kimi-K2.7-Code	random_low	random	low	2.0007	3840	7.45	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 384, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> > >(moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 384, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> >)	gloo:broadcast | aten::copy_ | aten::_local_scalar_dense | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
