model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
moonshotai/Kimi-Linear-48B-A3B-Instruct	random_low	random	low	15.9904	1980	12.59	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 4u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	sglang::unified_attention_with_output | sglang::unified_linear_attention_with_output | aten::copy_ | aten::gt	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[1], []], ""Input Strides"": [[1], []], ""Input type"": [""int"", ""Scalar""]}"
moonshotai/Kimi-Linear-48B-A3B-Instruct	random_low	random	low	14.7915	1872	12.31	moe	ok	True	fused_moe_kernel	sglang::unified_linear_attention_with_output | aten::copy_ | aten::empty_strided	external_id=300	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
moonshotai/Kimi-Linear-48B-A3B-Instruct	random_low	random	low	8.5815	216	61.91	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	sglang::unified_attention_with_output | aten::copy_ | aten::gt | aten::transpose | aten::slice	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[1], []], ""Input Strides"": [[1], []], ""Input type"": [""int"", ""Scalar""]}"
moonshotai/Kimi-Linear-48B-A3B-Instruct	random_low	random	low	5.8713	1728	5.30	quant_gemm	ok	True	nvjet_sm100_tst_16x64_64x16_2x1_v_bz_TNN	c10d::broadcast_ | aten::_index_put_impl_ | aten::argmax | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", ""False"", ""False""], ""Input Dims"": [[3577], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""long int"", """", ""long int"", ""Scalar"", ""Scalar""]}"
moonshotai/Kimi-Linear-48B-A3B-Instruct	random_low	random	low	5.6213	1728	5.07	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o230423041_tensorptrbf16gmemalign128o230423041_tensorptrbf16gmemalign_0	aten::copy_ | aten::_foreach_copy_ | aten::to | aten::empty_strided | aten::sum	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[[1], [1], [1], [1]], [[1], [1], [1], [1]], []], ""Input Strides"": [[[1], [1], [1], [1]], [[1], [1], [1], [1]], []], ""Input type"": [""TensorList"", ""TensorList"", ""Scalar""]}"
moonshotai/Kimi-Linear-48B-A3B-Instruct	random_low	random	low	4.8258	1888	3.98	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | aten::add | gloo:broadcast | aten::_local_scalar_dense	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[2], [2], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
moonshotai/Kimi-Linear-48B-A3B-Instruct	random_low	random	low	3.3695	1908	2.75	other	ok	True	void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind)0, true, false>((anonymous namespace)::ActivationParams)	aten::copy_ | sglang::unified_linear_attention_with_output | gloo:broadcast	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""1""], ""Input Dims"": [[48, 3072], [1, 48, 8, 128], [1, 48, 8], [1, 48, 8, 128], []], ""Input Strides"": [[3336, 1], [49152, 1024, 128, 1], [384, 8, 1], [49152, 1024, 128, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""float"", ""c10::BFloat16"", ""Scalar""]}"
moonshotai/Kimi-Linear-48B-A3B-Instruct	random_low	random	low	3.3068	640	8.05	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN	gloo:broadcast | detach_ | aten::slice | aten::_index_put_impl_ | aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
moonshotai/Kimi-Linear-48B-A3B-Instruct	random_low	random	low	2.7938	224	19.44	attention	ok	True	void flashinfer::mla::BatchMLAPagedAttentionKernel<flashinfer::mla::KernelTraits<false, 2u, true, 512u, 64u, 64u, 64u, __nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>, flashinfer::MLAParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int> >(flashinfer::MLAParams<__nv_bfloat16, __nv_bfloat16, __nv_bfloat16, int>)	aten::copy_ | aten::sub | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[2], [2], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
moonshotai/Kimi-Linear-48B-A3B-Instruct	random_low	random	low	2.5295	944	4.18	quant_gemm	ok	True	nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN	aten::copy_ | aten::sub | aten::_local_scalar_dense | aten::add | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[2], [2], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
