model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
poolside/Laguna-M.1-NVFP4	sharegpt_high	sharegpt	high	29.3557	9648	76.93	quant_gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalINS1_17GroupProblemShapeIN4cute5tupleIJiiiEEEEENS1_10collective13CollectiveMmaINS1_51MainloopSm100ArrayTmaUmmaWarpSpecializedBlockScaledILi9ELi8ELi2ENS6_IJNS5_1CILi1EEESD_SD_EEENS_4arch5Sm100EEENS6_IJNSC_ILi128EEESI_SI_EEENS6_IJNS_12float_e2m1_tENS_13float_ue4m3_tEEEENS6_IJPNS6_IJlSD_NSC_ILi0EEEEEEPNS5_6LayoutINS6_IJNS6_IJNS6_IJNSC_ILi32EEENSC_ILi4EEEEEEiEEENS6_IJNS6_IJNSC_ILi16EEESS_EEEiEEENS6_IJSD_iEEEEEENS6_IJSX_NS6_IJNS6_IJSN_SD_EEENSC_ILi512EEEEEENS6_IJSN_iEEEEEEEEEEESM_S17_NS5_8TiledMMAINS5_8MMA_AtomIJNS5_17SM100_MMA_MXF4_SSISK_SK_fSL_Li128ELi128ELi16ELNS5_4UMMA5MajorE0ELS1C_0ELNS1B_7ScaleInE0ELS1D_0EEEEEENSQ_ISE_NS6_IJSN_SN_SN_EEEEENS6_IJNS5_10UnderscoreES1I_S1I_EEEEENS6_IJNS5_13SM90_TMA_LOADES1L_EEENS6_IJNS5_14ComposedLayoutINS5_7SwizzleILi2ELi4ELi3EEENS5_18smem_ptr_flag_bitsILi4EEENSQ_INS6_IJNSC_ILi8EEESI_EEENS6_IJSI_SD_EEEEEEENSQ_INS6_IJNS6_IJNS6_IJST_SD_EEESW_EEESD_NS6_IJSD_NSC_ILi2EEEEEEEEENS6_IJNS6_IJNS6_IJSW_S11_EEES10_EEESN_NS6_IJSS_S11_EEEEEEEEEEEvNS5_8identityES1M_S27_vS28_EENS_8epilogue10collective18CollectiveEpilogueINS2A_31Sm100PtrArrayTmaWarpSpecializedILi3ELi2ELi64ELb1ELb0EEEJSJ_NS6_IJSI_NSC_ILi64EEEEEENS_10bfloat16_tESP_S2H_SP_NS2A_6fusion15FusionCallbacksIS2E_NS2I_17LinearCombinationIS2H_fS2H_fLNS_15FloatRoundStyleE2EEESJ_S2G_JEEENS5_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b64xES1L_NS1N_INS1O_ILi3ELi4ELi3EEENS1Q_ILi16EEENSQ_INS6_IJS1S_S2F_EEENS6_IJS2F_SD_EEEEEEENS5_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS5_14SM90_TMA_STOREES2X_S2Z_S2Z_EEEvvEEEEvNT_6ParamsE	aten::copy_ | aten::_to_copy	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[2276, 1024], [2276, 1024], []], ""Input Strides"": [[1024, 1], [1024, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_high	sharegpt	high	6.8799	7896	22.03	comm	ok	True	void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::distributed::AllReduceData const*, (anonymous namespace)::AllReduceParams, device::distributed::PullController)	sglang::unified_attention_with_output | aten::_to_copy	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""0"", """", """", """", """", """", """", """"], ""Input Dims"": [[256, 1024], [256, 1, 128], [256, 1, 128], [256, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
poolside/Laguna-M.1-NVFP4	sharegpt_high	sharegpt	high	4.3311	1128	97.08	comm	ok	True	ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)	sglang::unified_attention_with_output | aten::empty | aten::permute	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""0"", """", """", """", """", """", """", """"], ""Input Dims"": [[2304, 1024], [2304, 1, 128], [2304, 1, 128], [2304, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
poolside/Laguna-M.1-NVFP4	sharegpt_high	sharegpt	high	3.8676	3216	30.40	gemm	ok	True	void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_tn_align1>(cutlass_80_simt_sgemm_64x64_8x5_tn_align1::Params)	aten::copy_ | aten::as_strided | aten::cat | sglang::store_cache	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[0]"", ""[1]"", ""318250360""], ""Input Dims"": [[2731], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_high	sharegpt	high	2.9752	2800	26.86	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP64VarSeqQ128Kv128PersistentContext	sglang::unified_attention_with_output | aten::slice	external_id=67838	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""68"", """", """", """", """", """", """", """"], ""Input Dims"": [[2304, 1024], [2304, 1, 128], [2304, 1, 128], [2304, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
poolside/Laguna-M.1-NVFP4	sharegpt_high	sharegpt	high	2.3257	4824	12.19	moe	ok	True	compute_expert_blockscale_offsets(int const*, int*, int*, int*, long)	aten::copy_ | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[256], [256], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""int"", ""Scalar""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_high	sharegpt	high	2.3163	536	109.26	gemm	ok	True	cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_64x64x16_1x1x1_3_tnn_align1_bias_f32_relu	aten::copy_ | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[384], [384], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""int"", ""Scalar""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_high	sharegpt	high	2.1084	2240	23.80	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP64VarSeqQ8Kv128PersistentSwapsAbForGen	aten::as_strided | aten::copy_ | aten::_to_copy | aten::cat | aten::slice	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[768], [768], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""int"", ""Scalar""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_high	sharegpt	high	2.0417	10080	5.12	gemm	ok	True	kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm100Sm100BlockScaledPersistentDenseGemmKernel_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID1_0	aten::copy_ | sglang::unified_attention_with_output | aten::slice	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""5"", """", """", """", """", """", """", """"], ""Input Dims"": [[2304, 1024], [2304, 1, 128], [2304, 1, 128], [2304, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
poolside/Laguna-M.1-NVFP4	sharegpt_high	sharegpt	high	2.0122	4480	11.36	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign_0	aten::copy_ | aten::cat	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[0], [5]], []], ""Input Strides"": [[[1], [1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
