model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
poolside/Laguna-M.1-NVFP4	sharegpt_low	sharegpt	low	18.1657	9648	19.64	quant_gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalINS1_17GroupProblemShapeIN4cute5tupleIJiiiEEEEENS1_10collective13CollectiveMmaINS1_51MainloopSm100ArrayTmaUmmaWarpSpecializedBlockScaledILi9ELi8ELi2ENS6_IJNS5_1CILi1EEESD_SD_EEENS_4arch5Sm100EEENS6_IJNSC_ILi128EEESI_SI_EEENS6_IJNS_12float_e2m1_tENS_13float_ue4m3_tEEEENS6_IJPNS6_IJlSD_NSC_ILi0EEEEEEPNS5_6LayoutINS6_IJNS6_IJNS6_IJNSC_ILi32EEENSC_ILi4EEEEEEiEEENS6_IJNS6_IJNSC_ILi16EEESS_EEEiEEENS6_IJSD_iEEEEEENS6_IJSX_NS6_IJNS6_IJSN_SD_EEENSC_ILi512EEEEEENS6_IJSN_iEEEEEEEEEEESM_S17_NS5_8TiledMMAINS5_8MMA_AtomIJNS5_17SM100_MMA_MXF4_SSISK_SK_fSL_Li128ELi128ELi16ELNS5_4UMMA5MajorE0ELS1C_0ELNS1B_7ScaleInE0ELS1D_0EEEEEENSQ_ISE_NS6_IJSN_SN_SN_EEEEENS6_IJNS5_10UnderscoreES1I_S1I_EEEEENS6_IJNS5_13SM90_TMA_LOADES1L_EEENS6_IJNS5_14ComposedLayoutINS5_7SwizzleILi2ELi4ELi3EEENS5_18smem_ptr_flag_bitsILi4EEENSQ_INS6_IJNSC_ILi8EEESI_EEENS6_IJSI_SD_EEEEEEENSQ_INS6_IJNS6_IJNS6_IJST_SD_EEESW_EEESD_NS6_IJSD_NSC_ILi2EEEEEEEEENS6_IJNS6_IJNS6_IJSW_S11_EEES10_EEESN_NS6_IJSS_S11_EEEEEEEEEEEvNS5_8identityES1M_S27_vS28_EENS_8epilogue10collective18CollectiveEpilogueINS2A_31Sm100PtrArrayTmaWarpSpecializedILi3ELi2ELi64ELb1ELb0EEEJSJ_NS6_IJSI_NSC_ILi64EEEEEENS_10bfloat16_tESP_S2H_SP_NS2A_6fusion15FusionCallbacksIS2E_NS2I_17LinearCombinationIS2H_fS2H_fLNS_15FloatRoundStyleE2EEESJ_S2G_JEEENS5_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b64xES1L_NS1N_INS1O_ILi3ELi4ELi3EEENS1Q_ILi16EEENSQ_INS6_IJS1S_S2F_EEENS6_IJS2F_SD_EEEEEEENS5_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS5_14SM90_TMA_STOREES2X_S2Z_S2Z_EEEvvEEEEvNT_6ParamsE	aten::copy_ | sglang::unified_attention_with_output | aten::empty_strided | aten::_to_copy	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[48, 1024], [48, 1024], []], ""Input Strides"": [[1024, 1], [1024, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_low	sharegpt	low	8.4137	10152	8.64	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 8u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	sglang::unified_attention_with_output | aten::_to_copy	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""True"", ""0"", """", """", """", """", """", """", """"], ""Input Dims"": [[48, 1024], [48, 1, 128], [48, 1, 128], [48, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
poolside/Laguna-M.1-NVFP4	sharegpt_low	sharegpt	low	5.6353	4824	12.18	moe	ok	True	compute_expert_blockscale_offsets(int const*, int*, int*, int*, long)	aten::copy_ | aten::add | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_low	sharegpt	low	5.5143	8960	6.42	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign_0	aten::copy_ | aten::remainder | aten::eq | aten::view | gloo:broadcast	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""1""], ""Input Dims"": [[1], []], ""Input Strides"": [[1], []], ""Input type"": [""long int"", ""Scalar""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_low	sharegpt	low	4.9506	8960	5.76	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::add | aten::copy_ | aten::slice | aten::resolve_neg | aten::_local_scalar_dense	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0"", ""0"", ""704"", ""1""], ""Input Dims"": [[704], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""long int"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_low	sharegpt	low	4.7041	10080	4.87	gemm	ok	True	kernel_cutlass_kernel_flashinfergemmkernelsdense_blockscaled_gemm_sm100Sm100BlockScaledPersistentDenseGemmKernel_object_at__TiledMMA_ThrLayoutVMNK11110000_PermutationMNK____MMAAtom_ThrID1_0	c10d::broadcast_ | gloo:broadcast | aten::resolve_neg	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""0"", ""0"", ""False"", ""-1""], ""Input Dims"": [[[1]], [], [], [], [], []], ""Input Strides"": [[[1]], [], [], [], [], []], ""Input type"": [""TensorList"", """", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_low	sharegpt	low	3.7977	4824	8.21	other	ok	True	void apply_shuffle_mul_sum_kernel<__nv_bfloat16>(__nv_bfloat16 const*, __nv_bfloat16*, int const*, int, int, int, __nv_bfloat16 const*)	aten::copy_ | sglang::unified_attention_with_output | sglang::store_cache | aten::empty_strided | aten::permute	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", """", ""256"", ""0"", ""3980352""], ""Input Dims"": [[48, 128], [48, 128], [3980352, 128], [3980352, 128], [48], [], [], []], ""Input Strides"": [[1280, 1], [1280, 1], [128, 1], [128, 1], [1], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""long int"", ""Scalar"", ""Scalar"", ""Scalar""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_low	sharegpt	low	3.2506	4480	7.57	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen	detach_ | aten::copy_ | aten::add | aten::resolve_neg	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_low	sharegpt	low	2.8248	10152	2.90	gemm	ok	True	void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)	aten::copy_ | aten::as_strided | aten::_local_scalar_dense | sglang::unified_attention_with_output	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""[62193, 1, 64, 128]"", ""[8192, 8192, 128, 1]"", """"], ""Input Dims"": [[62193, 1, 64, 128], [], [], []], ""Input Strides"": [[8192, 128, 128, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", """"]}"
poolside/Laguna-M.1-NVFP4	sharegpt_low	sharegpt	low	2.4089	4480	5.61	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN	aten::copy_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
poolside/Laguna-M.1-NVFP4	sharegpt_low	sharegpt	low	2.3790	9864	2.52	other	ok	True	void (anonymous namespace)::act_and_mul_kernel<__nv_bfloat16, ((anonymous namespace)::ActivationKind)0, true, false>((anonymous namespace)::ActivationParams)	c10d::broadcast_ | gloo:broadcast | aten::_local_scalar_dense | aten::cat | sglang::unified_attention_with_output	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""0"", ""0"", ""False"", ""-1""], ""Input Dims"": [[[1]], [], [], [], [], []], ""Input Strides"": [[[1]], [], [], [], [], []], ""Input type"": [""TensorList"", """", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
