model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
MiniMaxAI/MiniMax-M2.5	sharegpt_high	sharegpt	high	30.7490	8928	58.74	moe	ok	True	fused_moe_kernel	aten::view | aten::permute | Torch-Compiled Region: 5/3	external_id=71306	"{""Concrete Inputs"": ["""", ""[-1, 128]""], ""Input Dims"": [[4150976, 1, 128], []], ""Input Strides"": [[128, 128, 1], []], ""Input type"": [""c10::Half"", ""ScalarList""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_high	sharegpt	high	9.3304	8928	17.82	quant_gemm	ok	True	_w8a8_block_fp8_matmul	aten::permute | aten::slice | aten::narrow	external_id=65534	"{""Concrete Inputs"": ["""", ""0"", ""0"", ""264"", ""1""], ""Input Dims"": [[288, 768], [], [], [], []], ""Input Strides"": [[768, 1], [], [], [], []], ""Input type"": [""c10::Half"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_high	sharegpt	high	8.2758	5000	28.23	comm	ok	True	void (anonymous namespace)::all_reduce_two_shot_kernel<__half, 8u, true>(host::distributed::AllReduceData const*, (anonymous namespace)::AllReduceParams, device::distributed::PullController)	aten::permute | aten::view | Torch-Compiled Region: 5/3	external_id=74327	"{""Concrete Inputs"": ["""", ""[0, 2, 1, 3]""], ""Input Dims"": [[64859, 64, 1, 128], []], ""Input Strides"": [[8192, 128, 128, 1], []], ""Input type"": [""c10::Half"", ""ScalarList""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_high	sharegpt	high	5.9378	1488	68.06	gemm	ok	True	cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_32x32x16_1x1x1_3_tnn_align1_bias_f32_relu	aten::permute | aten::view	external_id=74327	"{""Concrete Inputs"": ["""", ""[0, 2, 1, 3]""], ""Input Dims"": [[64859, 64, 1, 128], []], ""Input Strides"": [[8192, 128, 128, 1], []], ""Input type"": [""c10::Half"", ""ScalarList""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_high	sharegpt	high	5.2031	2976	29.82	attention	ok	True	fmhaSm100fKernel_QkvFp16OFp16H128PagedKvCausalP64VarSeqQ128Kv128PersistentContext	aten::slice | sglang::unified_attention_with_output	external_id=68431	"{""Concrete Inputs"": ["""", ""0"", ""0"", ""497"", ""1""], ""Input Dims"": [[512, 768], [], [], [], []], ""Input Strides"": [[768, 1], [], [], [], []], ""Input type"": [""c10::Half"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_high	sharegpt	high	3.9873	4000	17.00	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__half, 8u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	aten::permute | Torch-Compiled Region: 5/3	external_id=59420	{}
MiniMaxAI/MiniMax-M2.5	sharegpt_high	sharegpt	high	3.4934	1984	30.03	gemm	ok	True	void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_tn_align1>(cutlass_80_simt_sgemm_64x64_8x5_tn_align1::Params)	aten::copy_ | aten::as_strided | aten::_local_scalar_dense | aten::permute	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[0]"", ""[1]"", ""240259864""], ""Input Dims"": [[196612], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_high	sharegpt	high	2.9749	2976	17.05	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrf16gmemalign128o307230721_tensorptrf16gmemalign128o307230721_tensorptrf16gmemalign16o_0	aten::copy_ | aten::as_strided | aten::empty_strided | aten::cat	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[64]"", ""[1]"", ""128""], ""Input Dims"": [[192], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_high	sharegpt	high	2.6188	17856	2.50	quant_gemm	ok	True	void (anonymous namespace)::per_token_group_quant_8bit_v2_kernel<(anonymous namespace)::NaiveScheduler, 128, 8, __half, __nv_fp8_e4m3, false, false, false, true, float>(__half const*, __nv_fp8_e4m3*, float*, int const*, int, int, int, int, int)	aten::view	external_id=71306	"{""Concrete Inputs"": ["""", ""[-1, 128]""], ""Input Dims"": [[4150976, 1, 128], []], ""Input Strides"": [[128, 128, 1], []], ""Input type"": [""c10::Half"", ""ScalarList""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_high	sharegpt	high	2.1909	5952	6.28	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __half>(__half*, __half*, __half*, unsigned int, unsigned int, unsigned int, float, float)	aten::permute | Torch-Compiled Region: 5/3	external_id=59420	{}
