model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
MiniMaxAI/MiniMax-M2.5	sharegpt_low	sharegpt	low	20.4598	8928	16.84	quant_gemm	ok	True	_w8a8_block_fp8_matmul	Torch-Compiled Region: 5/3 | aten::_local_scalar_dense | aten::add	external_id=40318	{}
MiniMaxAI/MiniMax-M2.5	sharegpt_low	sharegpt	low	15.7699	8928	12.98	moe	missing	True	fused_moe_kernel	Torch-Compiled Region: 5/3	external_id=40318	{}
MiniMaxAI/MiniMax-M2.5	sharegpt_low	sharegpt	low	13.2971	9000	10.86	comm	missing	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__half, 8u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	Torch-Compiled Region: 5/3	external_id=40318	{}
MiniMaxAI/MiniMax-M2.5	sharegpt_low	sharegpt	low	10.7764	7936	9.98	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrf16gmemalign128o307230721_tensorptrf16gmemalign128o307230721_tensorptrf16gmemalign16o_0	aten::copy_ | aten::cat | aten::add	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[64], [576]], []], ""Input Strides"": [[[1], [1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_low	sharegpt	low	4.1887	17856	1.72	quant_gemm	ok	True	void (anonymous namespace)::per_token_group_quant_8bit_v2_kernel<(anonymous namespace)::NaiveScheduler, 128, 8, __half, __nv_fp8_e4m3, false, false, false, true, float>(__half const*, __nv_fp8_e4m3*, float*, int const*, int, int, int, int, int)	Torch-Compiled Region: 5/3 | aten::cat | aten::narrow | aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[64], [576]], []], ""Input Strides"": [[[1], [1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_low	sharegpt	low	4.0880	3968	7.57	attention	ok	True	fmhaSm100fKernel_QkvFp16OFp16H128PagedKvCausalP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen	c10d::broadcast_ | aten::cat | aten::resolve_neg	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[640], [59]], []], ""Input Strides"": [[[1], [1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_low	sharegpt	low	3.1308	4464	5.16	moe	missing	True	void moe_align_block_size_small_batch_expert_kernel<int, 256>(int const*, int*, int*, int*, int, int, unsigned long, bool, int)	Torch-Compiled Region: 5/3	external_id=40318	{}
MiniMaxAI/MiniMax-M2.5	sharegpt_low	sharegpt	low	2.5818	4464	4.25	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<float, 8u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	aten::add | Torch-Compiled Region: 5/3 | aten::slice | aten::as_strided | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0"", ""640"", ""640"", ""1""], ""Input Dims"": [[196612], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""int"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_low	sharegpt	low	2.0690	992	15.33	norm	missing	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __half>(__half*, __half*, __half*, unsigned int, unsigned int, unsigned int, float, float)	Torch-Compiled Region: 5/3	external_id=40318	{}
MiniMaxAI/MiniMax-M2.5	sharegpt_low	sharegpt	low	2.0273	496	30.04	gemm	missing	True	void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_tn_align1>(cutlass_80_simt_sgemm_64x64_8x5_tn_align1::Params)	Torch-Compiled Region: 5/3	external_id=40318	{}
