model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
MiniMaxAI/MiniMax-M2.5	sharegpt_mid	sharegpt	mid	28.5259	8928	70.36	moe	ok	True	fused_moe_kernel	aten::as_strided	external_id=54662	"{""Concrete Inputs"": ["""", ""[5524, 768]"", ""[768, 1]"", ""0""], ""Input Dims"": [[5632, 768], [], [], []], ""Input Strides"": [[768, 1], [], [], []], ""Input type"": [""c10::Half"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_mid	sharegpt	mid	9.8111	8928	24.20	quant_gemm	ok	True	_w8a8_block_fp8_matmul	aten::as_strided | Torch-Compiled Region: 5/1	external_id=54662	"{""Concrete Inputs"": ["""", ""[5524, 768]"", ""[768, 1]"", ""0""], ""Input Dims"": [[5632, 768], [], [], []], ""Input Strides"": [[768, 1], [], [], []], ""Input type"": [""c10::Half"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_mid	sharegpt	mid	4.9822	496	221.20	gemm	ok	True	cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_64x32x16_1x1x1_3_tnn_align1_bias_f32_relu	aten::as_strided	external_id=54662	"{""Concrete Inputs"": ["""", ""[5524, 768]"", ""[768, 1]"", ""0""], ""Input Dims"": [[5632, 768], [], [], []], ""Input Strides"": [[768, 1], [], [], []], ""Input type"": [""c10::Half"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_mid	sharegpt	mid	3.6577	2976	27.07	gemm	ok	True	void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_tn_align1>(cutlass_80_simt_sgemm_64x64_8x5_tn_align1::Params)	aten::as_strided	external_id=46792	"{""Concrete Inputs"": ["""", ""[64859, 1, 64, 128]"", ""[8192, 8192, 128, 1]"", """"], ""Input Dims"": [[64859, 1, 64, 128], [], [], []], ""Input Strides"": [[8192, 128, 128, 1], [], [], []], ""Input type"": [""c10::Half"", ""ScalarList"", ""ScalarList"", """"]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_mid	sharegpt	mid	3.4769	17856	4.29	quant_gemm	ok	True	void (anonymous namespace)::per_token_group_quant_8bit_v2_kernel<(anonymous namespace)::NaiveScheduler, 128, 8, __half, __nv_fp8_e4m3, false, false, false, true, float>(__half const*, __nv_fp8_e4m3*, float*, int const*, int, int, int, int, int)	aten::as_strided	external_id=54662	"{""Concrete Inputs"": ["""", ""[5524, 768]"", ""[768, 1]"", ""0""], ""Input Dims"": [[5632, 768], [], [], []], ""Input Strides"": [[768, 1], [], [], []], ""Input type"": [""c10::Half"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_mid	sharegpt	mid	3.2159	6000	11.80	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__half, 8u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	aten::as_strided | Torch-Compiled Region: 5/3	external_id=46792	"{""Concrete Inputs"": ["""", ""[64859, 1, 64, 128]"", ""[8192, 8192, 128, 1]"", """"], ""Input Dims"": [[64859, 1, 64, 128], [], [], []], ""Input Strides"": [[8192, 128, 128, 1], [], [], []], ""Input type"": [""c10::Half"", ""ScalarList"", ""ScalarList"", """"]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_mid	sharegpt	mid	3.2061	1488	47.45	moe	ok	True	void moe_sum_reduce_kernel_warp_token_topk<c10::Half, 8, 4>(c10::Half const*, c10::Half*, long, long, long, long, long, at::OpMathType<c10::Half>::type)	aten::as_strided	external_id=54662	"{""Concrete Inputs"": ["""", ""[5524, 768]"", ""[768, 1]"", ""0""], ""Input Dims"": [[5632, 768], [], [], []], ""Input Strides"": [[768, 1], [], [], []], ""Input type"": [""c10::Half"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_mid	sharegpt	mid	3.0023	3968	16.66	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __half>(__half*, __half*, __half*, unsigned int, unsigned int, unsigned int, float, float)	aten::as_strided | Torch-Compiled Region: 5/3	external_id=46792	"{""Concrete Inputs"": ["""", ""[64859, 1, 64, 128]"", ""[8192, 8192, 128, 1]"", """"], ""Input Dims"": [[64859, 1, 64, 128], [], [], []], ""Input Strides"": [[8192, 128, 128, 1], [], [], []], ""Input type"": [""c10::Half"", ""ScalarList"", ""ScalarList"", """"]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_mid	sharegpt	mid	2.8790	496	127.82	gemm	ok	True	cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x64x16_1x1x1_3_tnn_align1_bias_f32_relu	aten::as_strided | Torch-Compiled Region: 5/1	external_id=51817	"{""Concrete Inputs"": ["""", ""[3027, 1, 128]"", ""[128, 128, 1]"", ""0""], ""Input Dims"": [[3072, 1, 128], [], [], []], ""Input Strides"": [[128, 128, 1], [], [], []], ""Input type"": [""c10::Half"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.5	sharegpt_mid	sharegpt	mid	2.7022	1984	29.99	attention	ok	True	fmhaSm100fKernel_QkvFp16OFp16H128PagedKvCausalP64VarSeqQ128Kv128PersistentContext	aten::view | sglang::unified_attention_with_output	external_id=54664	"{""Concrete Inputs"": ["""", ""[-1, 128]""], ""Input Dims"": [[5524, 1, 128], []], ""Input Strides"": [[1024, 128, 1], []], ""Input type"": [""c10::Half"", ""ScalarList""]}"
