model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
MiniMaxAI/MiniMax-M2.7	random_low	random	low	17.1870	9000	12.65	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 8u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	Torch-Compiled Region: 5/3 | aten::empty_strided	external_id=4358	"{""Concrete Inputs"": [""[]"", ""[]"", ""3"", ""0"", """", ""False""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.7	random_low	random	low	16.6398	8928	12.35	moe	ok	True	fused_moe_kernel	Torch-Compiled Region: 5/3 | aten::pad	external_id=264	{}
MiniMaxAI/MiniMax-M2.7	random_low	random	low	12.3631	7936	10.32	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o307230721_tensorptrbf16gmemalign128o307230721_tensorptrbf16gmemalign_0	aten::empty_strided | aten::copy_ | aten::add | gloo:broadcast	external_id=4358	"{""Concrete Inputs"": [""[]"", ""[]"", ""3"", ""0"", """", ""False""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.7	random_low	random	low	7.8581	8928	5.83	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 16u, 128u, 128u, 1u, 128u, 128u, 128u, 12u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	aten::empty_strided | aten::lift_fresh | aten::_index_put_impl_ | aten::copy_	external_id=4358	"{""Concrete Inputs"": [""[]"", ""[]"", ""3"", ""0"", """", ""False""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.7	random_low	random	low	4.4233	3968	7.39	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen	aten::to | aten::resolve_neg | c10d::broadcast_ | aten::empty_strided | detach_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""4"", ""False"", ""False"", """"], ""Input Dims"": [[1], [], [], [], [], []], ""Input Strides"": [[1], [], [], [], [], []], ""Input type"": [""long int"", """", ""Scalar"", ""Scalar"", ""Scalar"", """"]}"
MiniMaxAI/MiniMax-M2.7	random_low	random	low	3.8980	992	26.04	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	Torch-Compiled Region: 5/3 | aten::pad	external_id=264	{}
MiniMaxAI/MiniMax-M2.7	random_low	random	low	3.3883	4464	5.03	moe	missing	True	void moe_align_block_size_small_batch_expert_kernel<int, 256>(int const*, int*, int*, int*, int, int, unsigned long, bool, int)	Torch-Compiled Region: 5/3	external_id=264	{}
MiniMaxAI/MiniMax-M2.7	random_low	random	low	2.8822	4464	4.28	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<float, 8u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	Torch-Compiled Region: 5/3 | aten::pad | aten::empty_strided	external_id=264	{}
MiniMaxAI/MiniMax-M2.7	random_low	random	low	2.3736	8928	1.76	quant_gemm	ok	True	void (anonymous namespace)::per_token_group_quant_8bit_v2_kernel<(anonymous namespace)::NaiveScheduler, 128, 8, __nv_bfloat16, __nv_fp8_e4m3, false, false, false, true, float>(__nv_bfloat16 const*, __nv_fp8_e4m3*, float*, int const*, int, int, int, int, int)	Torch-Compiled Region: 5/3 | aten::empty_strided	external_id=4358	"{""Concrete Inputs"": [""[]"", ""[]"", ""3"", ""0"", """", ""False""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.7	random_low	random	low	2.2474	8928	1.67	quant_gemm	ok	True	void (anonymous namespace)::per_token_group_quant_8bit_v2_kernel<(anonymous namespace)::NaiveScheduler, 128, 8, __nv_bfloat16, __nv_fp8_e4m3, true, true, false, true, unsigned int>(__nv_bfloat16 const*, __nv_fp8_e4m3*, unsigned int*, int const*, int, int, int, int, int)	aten::copy_ | detach_ | aten::empty_strided | aten::resolve_neg | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
MiniMaxAI/MiniMax-M2.7	random_low	random	low	2.1187	496	28.30	gemm	missing	True	void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_tn_align1>(cutlass_80_simt_sgemm_64x64_8x5_tn_align1::Params)	Torch-Compiled Region: 5/3	external_id=264	{}
