model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
MiniMaxAI/MiniMax-M2.7	random_mid	random	mid	31.3965	8928	71.91	moe	ok	True	fused_moe_kernel	aten::lift_fresh | Torch-Compiled Region: 5/1	external_id=11681	"{""Concrete Inputs"": [""""], ""Input Dims"": [[19]], ""Input Strides"": [[1]], ""Input type"": [""float""]}"
MiniMaxAI/MiniMax-M2.7	random_mid	random	mid	5.9135	496	243.81	gemm	ok	True	cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x128x16_1x1x1_3_tnn_align1_bias_f32_relu	Torch-Compiled Region: 5/1 | aten::lift_fresh	external_id=11767	{}
MiniMaxAI/MiniMax-M2.7	random_mid	random	mid	4.6318	7000	13.53	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 8u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[32], [32], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.7	random_mid	random	mid	4.5364	3472	26.72	gemm	ok	True	void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_tn_align1>(cutlass_80_simt_sgemm_64x64_8x5_tn_align1::Params)	Torch-Compiled Region: 5/3 | aten::as_strided | aten::cat	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[161]"", ""[1]"", ""9420984""], ""Input Dims"": [[204804], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.7	random_mid	random	mid	3.3209	2976	22.82	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	Torch-Compiled Region: 5/3 | aten::to	external_id=6760	{}
MiniMaxAI/MiniMax-M2.7	random_mid	random	mid	3.2907	5952	11.31	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o307230721_tensorptrbf16gmemalign128o307230721_tensorptrbf16gmemalign_0	aten::copy_ | aten::add | gloo:broadcast	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[32], [32], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
MiniMaxAI/MiniMax-M2.7	random_mid	random	mid	2.7420	8928	6.28	quant_gemm	missing	True	void (anonymous namespace)::per_token_group_quant_8bit_v2_kernel<(anonymous namespace)::NaiveScheduler, 128, 8, __nv_bfloat16, __nv_fp8_e4m3, false, false, false, true, float>(__nv_bfloat16 const*, __nv_fp8_e4m3*, float*, int const*, int, int, int, int, int)	Torch-Compiled Region: 5/1	external_id=11767	{}
MiniMaxAI/MiniMax-M2.7	random_mid	random	mid	2.3110	1000	47.26	comm	ok	True	void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::distributed::AllReduceData const*, (anonymous namespace)::AllReduceParams, device::distributed::PullController)	Torch-Compiled Region: 5/3 | detach_	external_id=9204	{}
MiniMaxAI/MiniMax-M2.7	random_mid	random	mid	2.0557	992	42.38	moe	ok	True	void moe_sum_reduce_warp_per_token_vec_kernel<8>(c10::BFloat16 const*, c10::BFloat16*, long, long, long, long, long, long, float)	Torch-Compiled Region: 5/1 | aten::lift_fresh	external_id=11767	{}
MiniMaxAI/MiniMax-M2.7	random_mid	random	mid	2.0288	496	83.64	gemm	ok	True	cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_64x32x16_1x1x1_3_tnn_align1_bias_f32_relu	Torch-Compiled Region: 5/3 | detach_	external_id=9204	{}
