model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
mistralai/Mistral-Small-4-119B-2603	random_low	random	low	19.6958	1440	7.01	gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS1_10collective13CollectiveMmaINS1_35MainloopSm100TmaUmmaWarpSpecializedILi13ELi2ELi4ENS5_IJNS4_1CILi1EEENSA_ILi4EEESB_EEEEENS5_IJNSA_ILi64EEESF_NSA_ILi128EEEEEENS_12float_e4m3_tENS5_IJlSB_lEEESI_SJ_NS4_8TiledMMAINS4_8MMA_AtomIJNS4_10MMA_TraitsINS4_19SM100_MMA_F8F6F4_SSEJSI_SI_fSF_SF_NS4_17integral_constantINS4_4UMMA5MajorELSQ_0EEESR_NSO_INSP_7ScaleInELSS_0EEEST_EEEEEENS4_6LayoutINS5_IJSB_SB_SB_EEENS5_IJNSA_ILi0EEESY_SY_EEEEENS5_IJNS4_10UnderscoreES11_S11_EEEEENS4_23SM90_TMA_LOAD_MULTICASTENS4_14ComposedLayoutINS4_7SwizzleILi3ELi4ELi3EEENS4_18smem_ptr_flag_bitsILi8EEENSW_INS5_IJNSA_ILi8EEESG_EEENS5_IJSG_SB_EEEEEEEvNS4_8identityENS4_13SM90_TMA_LOADES1E_vS1F_EENS_8epilogue10collective18CollectiveEpilogueINS1I_23Sm100TmaWarpSpecializedILi1ELi1ELi32ELb0ELb1EEEJSH_NS5_IJNSW_ISF_SB_EES1N_EEEvSJ_NS_10bfloat16_tESJ_NS1I_6fusion15Sm90TreeVisitorINS1Q_11Sm90ComputeINS_10multipliesES1P_fLNS_15FloatRoundStyleE2EvEEJNS1Q_16Sm90ColBroadcastILi0ESH_ffNS5_IJSB_SY_SY_EEELi4ELb1EEENS1R_INS1S_IS1T_ffLS1U_2EvEEJNS1Q_16Sm90RowBroadcastILi0ESH_ffNS5_IJSY_SB_SY_EEELi4ELb1EEENS1Q_12Sm90AccFetchEEEEEEENS4_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_16dp256b8xES1G_NS15_IS17_NS18_ILi16EEENSW_INS5_IJS1A_SF_EEENS5_IJSF_SB_EEEEEEENS4_17SM75_U32x4_LDSM_NENS4_14SM90_TMA_STOREES2E_NS4_17SM90_U32x4_STSM_NENS4_39AutoVectorizingCopyWithAssumedAlignmentILi128EEEEEEvvEEEEvNT_6ParamsE	aten::resolve_neg | aten::as_strided | aten::add | aten::_index_put_impl_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
mistralai/Mistral-Small-4-119B-2603	random_low	random	low	9.3123	36	132.59	other	ok	True	bmm_E4m3_E4m3E4m3_Fp32_BtokBfloat16_t128x8x256u2_s6_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	sglang::trtllm_fp8_per_tensor_scale_moe_wrapper	external_id=3419	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""128"", ""4"", ""1"", ""1"", ""2048"", ""0"", ""128"", ""1."", ""False"", ""1"", """", ""64"", ""3""], ""Input Dims"": [[38, 128], [], [38, 4096], [128, 4096, 4096], [128], [128], [128, 4096, 2048], [128], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[128, 1], [], [4096, 1], [16777216, 4096, 1], [1], [1], [8388608, 2048, 1], [1], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", """", ""c10::Float8_e4m3fn"", ""c10::Float8_e4m3fn"", ""float"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	random_low	random	low	8.2261	288	14.64	other	ok	True	bmm_E4m3_E4m3E4m3_Fp32_BtokBfloat16_t128x8x256_s6_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schedS_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	random_low	random	low	6.8491	1656	2.12	quant_gemm	ok	True	_static_quant_fp8	aten::copy_ | aten::as_strided | aten::slice | aten::view	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1]"", ""[1]"", ""0""], ""Input Dims"": [[1], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	random_low	random	low	6.2435	288	11.11	other	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x8x256u2_s6_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schedS_bN_rgTma_clmp_dynB_sm100f	aten::index | aten::as_strided | aten::argmax | aten::resolve_neg | aten::add	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[1, 131072], [], []], ""Input Strides"": [[131072, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	random_low	random	low	6.1958	288	11.03	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16HQk320HV256PagedKvDenseP64MultiCtasKvVarSeqQ16Kv128StaticSwapsAbForGen	aten::resolve_neg | aten::as_strided | aten::copy_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
mistralai/Mistral-Small-4-119B-2603	random_low	random	low	4.8596	36	69.19	other	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x8x256u2_s6_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	sglang::trtllm_fp8_per_tensor_scale_moe_wrapper	external_id=3419	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""128"", ""4"", ""1"", ""1"", ""2048"", ""0"", ""128"", ""1."", ""False"", ""1"", """", ""64"", ""3""], ""Input Dims"": [[38, 128], [], [38, 4096], [128, 4096, 4096], [128], [128], [128, 4096, 2048], [128], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[128, 1], [], [4096, 1], [16777216, 4096, 1], [1], [1], [8388608, 2048, 1], [1], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", """", ""c10::Float8_e4m3fn"", ""c10::Float8_e4m3fn"", ""float"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	random_low	random	low	3.6687	648	2.90	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign_0	aten::add_ | aten::slice | aten::view | aten::sub | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[38, 4096], [38, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	random_low	random	low	2.8265	9	160.97	quant_gemm	ok	True	nvjet_sm100_tst_128x8_64x12_2x1_v_bz_TNT	aten::copy_ | aten::mm | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	random_low	random	low	2.4002	324	3.80	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	sglang::trtllm_fp8_per_tensor_scale_moe_wrapper	external_id=1859	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""128"", ""4"", ""1"", ""1"", ""2048"", ""0"", ""128"", ""1."", ""False"", ""1"", """", ""64"", ""3""], ""Input Dims"": [[38, 128], [], [38, 4096], [128, 4096, 4096], [128], [128], [128, 4096, 2048], [128], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[128, 1], [], [4096, 1], [16777216, 4096, 1], [1], [1], [8388608, 2048, 1], [1], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", """", ""c10::Float8_e4m3fn"", ""c10::Float8_e4m3fn"", ""float"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar""]}"
