model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
mistralai/Mistral-Small-4-119B-2603	sharegpt_mid	sharegpt	mid	23.6366	252	148.86	other	ok	True	bmm_E4m3_E4m3E4m3_Fp32_BtokBfloat16_t128x8x256_s6_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::resolve_neg | aten::copy_ | aten::slice | aten::empty_strided | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[32]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
mistralai/Mistral-Small-4-119B-2603	sharegpt_mid	sharegpt	mid	12.2689	252	77.27	other	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x8x256u2_s6_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::as_strided | aten::add | aten::resolve_neg | aten::copy_ | aten::floor_divide	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[256]"", ""[1]"", ""0""], ""Input Dims"": [[256], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	sharegpt_mid	sharegpt	mid	11.4100	36	502.99	other	ok	True	bmm_E4m3_E4m3E4m3_Fp32_BtokBfloat16_t128x64x256u2_s5_et128x64_m256x64x32_c2x1x1_rM_TN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_lbW8_dynB_sm100f	sglang::trtllm_fp8_per_tensor_scale_moe_wrapper	external_id=58744	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""128"", ""4"", ""1"", ""1"", ""2048"", ""0"", ""128"", ""1."", ""False"", ""1"", """", ""8192"", ""3""], ""Input Dims"": [[5519, 128], [], [5519, 4096], [128, 4096, 4096], [128], [128], [128, 4096, 2048], [128], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[128, 1], [], [4096, 1], [16777216, 4096, 1], [1], [1], [8388608, 2048, 1], [1], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", """", ""c10::Float8_e4m3fn"", ""c10::Float8_e4m3fn"", ""float"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	sharegpt_mid	sharegpt	mid	6.9764	252	43.94	gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS1_10collective13CollectiveMmaINS1_35MainloopSm100TmaUmmaWarpSpecializedILi17ELi2ELi4ENS5_IJNS4_1CILi2EEESB_NSA_ILi1EEEEEEEENS5_IJNSA_ILi256EEENSA_ILi128EEENSA_ILi64EEEEEENS_12float_e4m3_tENS5_IJlSC_lEEESJ_SK_NS4_8TiledMMAINS4_8MMA_AtomIJNS4_10MMA_TraitsINS4_25SM100_MMA_F8F6F4_2x1SM_SSEJSJ_SJ_fSF_SG_NS4_17integral_constantINS4_4UMMA5MajorELSR_0EEESS_NSP_INSQ_7ScaleInELST_0EEESU_EEEEEENS4_6LayoutINS5_IJSC_SC_SC_EEENS5_IJNSA_ILi0EEESZ_SZ_EEEEENS5_IJNS4_10UnderscoreES12_S12_EEEEENS4_28SM100_TMA_2SM_LOAD_MULTICASTENS4_14ComposedLayoutINS4_7SwizzleILi2ELi4ELi3EEENS4_18smem_ptr_flag_bitsILi8EEENSX_INS5_IJNSA_ILi8EEESH_EEENS5_IJSH_SC_EEEEEEEvNS4_8identityENS4_18SM100_TMA_2SM_LOADES1F_vS1G_EENS_8epilogue10collective18CollectiveEpilogueINS1J_23Sm100TmaWarpSpecializedILi4ELi2ELi32ELb0ELb1EEEJNS5_IJSG_SG_SH_EEENS5_IJNSX_ISG_SC_EENSX_INSA_ILi32EEESC_EEEEEvSK_NS_10bfloat16_tESK_NS1J_6fusion15Sm90TreeVisitorINS1U_11Sm90ComputeINS_10multipliesES1T_fLNS_15FloatRoundStyleE2EvEEJNS1U_16Sm90ColBroadcastILi0ESI_ffNS5_IJSC_SZ_SZ_EEELi4ELb1EEENS1V_INS1W_IS1X_ffLS1Y_2EvEEJNS1U_16Sm90RowBroadcastILi0ESI_ffNS5_IJSZ_SC_SZ_EEELi4ELb1EEENS1U_12Sm90AccFetchEEEEEEENS4_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b32xENS4_13SM90_TMA_LOADENS16_IS18_NS19_ILi16EEENSX_INS5_IJS1B_S1Q_EEENS5_IJS1Q_SC_EEEEEEENS4_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS4_14SM90_TMA_STOREES2J_S2L_S2L_EEEvvEEEEvNT_6ParamsE	sgl_kernel::fp8_scaled_mm	external_id=56599	"{""Concrete Inputs"": ["""", """", """", """", ""15"", """"], ""Input Dims"": [[5519, 4096], [4096, 4096], [5519, 1], [4096, 1], [], []], ""Input Strides"": [[4096, 1], [1, 4096], [1, 1], [1, 1], [], []], ""Input type"": [""c10::Float8_e4m3fn"", ""c10::Float8_e4m3fn"", ""float"", ""float"", ""Scalar"", """"]}"
mistralai/Mistral-Small-4-119B-2603	sharegpt_mid	sharegpt	mid	6.8310	36	301.14	other	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x64x128u2_s8_et128x64_m256x64x32_c2x1x1_rM_TN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	sglang::trtllm_fp8_per_tensor_scale_moe_wrapper	external_id=58744	"{""Concrete Inputs"": ["""", """", """", """", """", """", """", """", ""128"", ""4"", ""1"", ""1"", ""2048"", ""0"", ""128"", ""1."", ""False"", ""1"", """", ""8192"", ""3""], ""Input Dims"": [[5519, 128], [], [5519, 4096], [128, 4096, 4096], [128], [128], [128, 4096, 2048], [128], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[128, 1], [], [4096, 1], [16777216, 4096, 1], [1], [1], [8388608, 2048, 1], [1], [], [], [], [], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", """", ""c10::Float8_e4m3fn"", ""c10::Float8_e4m3fn"", ""float"", ""float"", ""c10::Float8_e4m3fn"", ""float"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar"", """", ""Scalar"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	sharegpt_mid	sharegpt	mid	5.4000	1296	6.61	gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS1_10collective13CollectiveMmaINS1_35MainloopSm100TmaUmmaWarpSpecializedILi13ELi2ELi4ENS5_IJNS4_1CILi1EEESB_SB_EEEEENS5_IJNSA_ILi64EEESE_NSA_ILi128EEEEEENS_12float_e4m3_tENS5_IJlSB_lEEESH_SI_NS4_8TiledMMAINS4_8MMA_AtomIJNS4_10MMA_TraitsINS4_19SM100_MMA_F8F6F4_SSEJSH_SH_fSE_SE_NS4_17integral_constantINS4_4UMMA5MajorELSP_0EEESQ_NSN_INSO_7ScaleInELSR_0EEESS_EEEEEENS4_6LayoutISC_NS5_IJNSA_ILi0EEESW_SW_EEEEENS5_IJNS4_10UnderscoreESZ_SZ_EEEEENS4_13SM90_TMA_LOADENS4_14ComposedLayoutINS4_7SwizzleILi3ELi4ELi3EEENS4_18smem_ptr_flag_bitsILi8EEENSV_INS5_IJNSA_ILi8EEESF_EEENS5_IJSF_SB_EEEEEEEvNS4_8identityES12_S1C_vS1D_EENS_8epilogue10collective18CollectiveEpilogueINS1F_23Sm100TmaWarpSpecializedILi1ELi1ELi32ELb0ELb1EEEJSG_NS5_IJNSV_ISE_SB_EES1K_EEEvSI_NS_10bfloat16_tESI_NS1F_6fusion15Sm90TreeVisitorINS1N_11Sm90ComputeINS_10multipliesES1M_fLNS_15FloatRoundStyleE2EvEEJNS1N_16Sm90ColBroadcastILi0ESG_ffNS5_IJSB_SW_SW_EEELi4ELb1EEENS1O_INS1P_IS1Q_ffLS1R_2EvEEJNS1N_16Sm90RowBroadcastILi0ESG_ffNS5_IJSW_SB_SW_EEELi4ELb1EEENS1N_12Sm90AccFetchEEEEEEENS4_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_16dp256b8xES12_NS13_IS15_NS16_ILi16EEENSV_INS5_IJS18_SE_EEENS5_IJSE_SB_EEEEEEENS4_17SM75_U32x4_LDSM_NENS4_14SM90_TMA_STOREES2B_NS4_17SM90_U32x4_STSM_NENS4_39AutoVectorizingCopyWithAssumedAlignmentILi128EEEEEEvvEEEEvNT_6ParamsE	aten::copy_ | aten::as_strided | aten::resolve_neg | aten::add	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long unsigned int"", ""long unsigned int"", ""Scalar""]}"
mistralai/Mistral-Small-4-119B-2603	sharegpt_mid	sharegpt	mid	3.4011	108	49.98	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128SeparateQkvCausalVarSeqQ128Kv128PersistentContext	aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[5519, 32]"", ""6"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
mistralai/Mistral-Small-4-119B-2603	sharegpt_mid	sharegpt	mid	2.8304	1800	2.50	quant_gemm	ok	True	_static_quant_fp8	aten::as_strided | aten::empty_strided | aten::empty_like | aten::slice	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", """"], ""Input Dims"": [[5519, 256], [], [], [], [], []], ""Input Strides"": [[1344, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", """", """", """", ""Scalar"", """"]}"
mistralai/Mistral-Small-4-119B-2603	sharegpt_mid	sharegpt	mid	2.7166	216	19.96	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16HQk320HV256PagedKvDenseP64MultiCtasKvCgaVarSeqQ16Kv128StaticSwapsAbForGen	aten::copy_ | aten::as_strided | aten::view	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[32]""], ""Input Dims"": [[32], []], ""Input Strides"": [[1], []], ""Input type"": [""long int"", ""ScalarList""]}"
mistralai/Mistral-Small-4-119B-2603	sharegpt_mid	sharegpt	mid	2.4424	648	5.98	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign_0	aten::view | sgl_kernel::fp8_scaled_mm | aten::empty | aten::t	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[5519, 4096]""], ""Input Dims"": [[5519, 4096], []], ""Input Strides"": [[4096, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
