model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	14.6192	640	6.45	gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS1_10collective13CollectiveMmaINS1_35MainloopSm100TmaUmmaWarpSpecializedILi13ELi2ELi4ENS5_IJNS4_1CILi1EEENSA_ILi4EEESB_EEEEENS5_IJNSA_ILi64EEESF_NSA_ILi128EEEEEENS_12float_e4m3_tENS5_IJlSB_lEEESI_SJ_NS4_8TiledMMAINS4_8MMA_AtomIJNS4_10MMA_TraitsINS4_19SM100_MMA_F8F6F4_SSEJSI_SI_fSF_SF_NS4_17integral_constantINS4_4UMMA5MajorELSQ_0EEESR_NSO_INSP_7ScaleInELSS_0EEEST_EEEEEENS4_6LayoutINS5_IJSB_SB_SB_EEENS5_IJNSA_ILi0EEESY_SY_EEEEENS5_IJNS4_10UnderscoreES11_S11_EEEEENS4_23SM90_TMA_LOAD_MULTICASTENS4_14ComposedLayoutINS4_7SwizzleILi3ELi4ELi3EEENS4_18smem_ptr_flag_bitsILi8EEENSW_INS5_IJNSA_ILi8EEESG_EEENS5_IJSG_SB_EEEEEEEvNS4_8identityENS4_13SM90_TMA_LOADES1E_vS1F_EENS_8epilogue10collective18CollectiveEpilogueINS1I_23Sm100TmaWarpSpecializedILi1ELi1ELi32ELb0ELb1EEEJSH_NS5_IJNSW_ISF_SB_EES1N_EEEvSJ_NS_10bfloat16_tESJ_NS1I_6fusion15Sm90TreeVisitorINS1Q_11Sm90ComputeINS_10multipliesES1P_fLNS_15FloatRoundStyleE2EvEEJNS1Q_16Sm90ColBroadcastILi0ESH_ffNS5_IJSB_SY_SY_EEELi4ELb1EEENS1R_INS1S_IS1T_ffLS1U_2EvEEJNS1Q_16Sm90RowBroadcastILi0ESH_ffNS5_IJSY_SB_SY_EEELi4ELb1EEENS1Q_12Sm90AccFetchEEEEEEENS4_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_16dp256b8xES1G_NS15_IS17_NS18_ILi16EEENSW_INS5_IJS1A_SF_EEENS5_IJSF_SB_EEEEEEENS4_17SM75_U32x4_LDSM_NENS4_14SM90_TMA_STOREES2E_NS4_17SM90_U32x4_STSM_NENS4_39AutoVectorizingCopyWithAssumedAlignmentILi128EEEEEEvvEEEEvNT_6ParamsE	aten::copy_ | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 131072]"", ""[131072, 1]"", ""0""], ""Input Dims"": [[1, 131072], [], [], []], ""Input Strides"": [[131072, 1], [], [], []], ""Input type"": [""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	6.3295	184	9.71	other	ok	True	bmm_E4m3_E4m3E4m3_Fp32_BtokBfloat16_t128x16x256_s6_et128x16_m128x16x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_relu2_bN_tma_tmaSf_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 131072]"", ""[131072, 1]"", ""0""], ""Input Dims"": [[1, 131072], [], [], []], ""Input Strides"": [[131072, 1], [], [], []], ""Input type"": [""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	5.5890	184	8.57	other	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x16x256u2_s6_et128x16_m128x16x32_c1x1x1_rM_TN_transOut_schedS_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::view | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""[]""], ""Input Dims"": [[1], []], ""Input Strides"": [[1], []], ""Input type"": [""long int"", ""ScalarList""]}"
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	5.1985	23	63.79	other	ok	True	bmm_E4m3_E4m3E4m3_Fp32_BtokBfloat16_t128x8x256_s6_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_relu2_bN_tma_tmaSf_rgTma_clmp_dynB_sm100f	sglang::nemotron_mamba2_with_output | aten::select	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""2""], ""Input Dims"": [[48, 2688], [48, 2688], []], ""Input Strides"": [[2688, 1], [2688, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	5.0302	23	61.72	other	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x8x256_s6_et128x8_m128x8x32_c1x1x1_rM_TN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	sglang::nemotron_mamba2_with_output | aten::mm	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""7""], ""Input Dims"": [[48, 2688], [48, 2688], []], ""Input Strides"": [[2688, 1], [2688, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	4.7254	416	3.21	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o268826881_tensorptrbf16gmemalign128o268826881_tensorptrbf16gmemalign_0	aten::copy_ | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	4.2504	144	8.33	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_splitK_TNT	aten::copy_ | aten::reshape | aten::_index_put_impl_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	4.2043	720	1.65	quant_gemm	ok	True	_static_quant_fp8	aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	3.3507	9	105.07	quant_gemm	ok	True	nvjet_sm100_tst_128x8_64x12_2x1_v_bz_TNT	aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	3.1848	207	4.34	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true>)	sglang::nemotron_mamba2_with_output | aten::split_with_sizes | aten::copy_ | aten::view | sgl_kernel::fp8_scaled_mm	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""[38, 0]"", ""0""], ""Input Dims"": [[38, 6144], [], []], ""Input Strides"": [[10304, 1], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	2.8282	184	4.34	quant_gemm	ok	True	nvjet_sm100_tss_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	2.7559	184	4.23	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 128, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> > >(moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 128, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> >)	aten::copy_ | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Nano-30B-A3B-FP8	random_low	random	low	2.1786	48	12.81	quant_gemm	ok	True	void flashinfer::BatchPrefillWithPagedKVCacheKernel<flashinfer::KernelTraits<(flashinfer::MaskMode)0, 16u, 1u, 4u, 8u, 8u, 1u, 4u, (flashinfer::PosEncodingMode)0, __nv_bfloat16, __nv_fp8_e4m3, __nv_bfloat16, float, int, flashinfer::DefaultAttention<false, false, false, false> >, PagedParams>(PagedParams)	aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
