model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	12.5882	800	604.50	other	ok	True	_chunk_scan_fwd_kernel	sglang::nemotron_mamba2_with_output	external_id=51821	"{""Concrete Inputs"": ["""", """", ""82""], ""Input Dims"": [[16384, 4096], [16384, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	10.4095	1068	374.44	comm	ok	True	ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)	aten::mm | sglang::outplace_all_reduce | aten::item | aten::empty | aten::detach_	external_id=46226	"{""Concrete Inputs"": [""""], ""Input Dims"": [[]], ""Input Strides"": [[]], ""Input type"": [""long int""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	8.4035	800	403.55	other	ok	True	_chunk_state_fwd_kernel	sglang::nemotron_mamba2_with_output	external_id=51950	"{""Concrete Inputs"": ["""", """", ""84""], ""Input Dims"": [[16384, 4096], [16384, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	8.0671	480	645.65	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_relu2_bN_tma_tmaSf_rgTma_clmp_dynB_sm100f	aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[34], [34], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	7.5412	480	603.57	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::slice | aten::mm | aten::as_strided | sglang::nemotron_mamba2_with_output	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0"", ""0"", ""16384"", ""1""], ""Input Dims"": [[16384, 4096], [], [], [], []], ""Input Strides"": [[4096, 1], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	6.2619	800	300.70	other	ok	True	_state_passing_fwd_kernel	sglang::nemotron_mamba2_with_output | aten::matmul	external_id=60085	"{""Concrete Inputs"": ["""", """", ""38""], ""Input Dims"": [[16384, 4096], [16384, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	6.2432	1888	127.04	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT	aten::mm	external_id=37199	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[14599, 4096], [4096, 4640]], ""Input Strides"": [[4096, 1], [1, 4096]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	3.5719	1760	77.97	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	sglang::nemotron_mamba2_with_output | aten::mm | sglang::outplace_all_reduce	timestamp_enclosure	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[38, 4096], [4096, 4640]], ""Input Strides"": [[4096, 1], [1, 4096]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	3.5391	1780	76.38	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 4u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	sglang::outplace_all_reduce | aten::_local_scalar_dense | aten::split_with_sizes	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[]], ""Input Strides"": [[]], ""Input type"": [""long int""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	3.1000	320	372.16	quant_gemm	ok	True	nvjet_sm100_tst_160x192_64x6_1x2_2cta_h_bz_TNN	aten::mm	external_id=46778	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[16384, 4096], [4096, 4640]], ""Input Strides"": [[4096, 1], [1, 4096]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	2.6012	356	280.70	comm	ok	True	void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 4u, true>(host::distributed::AllReduceData const*, (anonymous namespace)::AllReduceParams, device::distributed::PullController)	sglang::outplace_all_reduce | aten::as_strided	external_id=68932	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[694, 4096], [], []], ""Input Strides"": [[4096, 1], [], []], ""Input type"": [""c10::BFloat16"", """", """"]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	2.3811	800	114.34	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x16x128u2_s6_et128x16_m128x16x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::cat | aten::unsqueeze | aten::transpose | sglang::unified_attention_with_output | sglang::nemotron_mamba2_with_output	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-3""], ""Input Dims"": [[11821680, 1, 128], []], ""Input Strides"": [[128, 128, 1], []], ""Input type"": [""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_high	random	high	2.2395	640	134.43	moe	ok	True	void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true>)	aten::copy_ | sglang::nemotron_mamba2_with_output | aten::as_strided | sglang::outplace_all_reduce | sglang::unified_attention_with_output	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""15""], ""Input Dims"": [[16384, 4096], [16384, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
