model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_low	random	low	32.1063	3204	37.14	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 4u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	sglang::outplace_all_reduce | aten::reshape	external_id=4704	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[38, 4096], [], []], ""Input Strides"": [[4096, 1], [], []], ""Input type"": [""c10::BFloat16"", """", """"]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_low	random	low	8.8466	352	93.15	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	aten::copy_ | aten::expand | sglang::nemotron_mamba2_with_output | aten::squeeze | aten::mm	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[38, 1024], [38, 1024], []], ""Input Strides"": [[1024, 1], [1024, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_low	random	low	8.0261	4096	7.26	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN	aten::copy_ | aten::as_strided | aten::_to_copy	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_low	random	low	5.1595	2816	6.79	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | aten::as_strided | aten::resolve_conj	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 131072]"", ""[131072, 1]"", ""0""], ""Input Dims"": [[1, 131072], [], [], []], ""Input Strides"": [[131072, 1], [], [], []], ""Input type"": [""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_low	random	low	3.5667	2816	4.69	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign_0	aten::copy_ | aten::as_strided | aten::argmax	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 1]"", ""[1, 0]"", """"], ""Input Dims"": [[1], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", """"]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_low	random	low	3.1425	1280	9.10	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x1_v_bz_splitK_TNT	aten::copy_ | aten::argmax | aten::to | aten::slice	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""4"", ""False"", ""False"", """"], ""Input Dims"": [[1], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""long int"", ""Scalar"", ""Scalar"", ""Scalar"", """"]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_low	random	low	2.9940	720	15.41	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x16x128u2_s4_et128x16_m128x16x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::expand | sglang::nemotron_mamba2_with_output | aten::mm	external_id=389	"{""Concrete Inputs"": ["""", ""[38]"", ""False""], ""Input Dims"": [[38], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""int"", ""ScalarList"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_low	random	low	2.9503	1280	8.54	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 512, 22, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> > >(moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 512, 22, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> >)	aten::copy_ | aten::as_strided | aten::view	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 131072]"", ""[131072, 1]"", ""0""], ""Input Dims"": [[1, 131072], [], [], []], ""Input Strides"": [[131072, 1], [], [], []], ""Input type"": [""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_low	random	low	2.4723	1440	6.36	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true>)	sglang::nemotron_mamba2_with_output | aten::split_with_sizes | aten::_to_copy | sglang::outplace_all_reduce | aten::expand	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""13""], ""Input Dims"": [[48, 4096], [48, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_low	random	low	2.4595	1280	7.12	quant_gemm	ok	True	nvjet_sm100_tss_32x64_64x16_4x1_v_bz_splitK_TNN	aten::argmax | aten::as_strided | aten::view | aten::to	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 131072]"", ""[131072, 1]"", ""0""], ""Input Dims"": [[1, 131072], [], [], []], ""Input Strides"": [[131072, 1], [], [], []], ""Input type"": [""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
