model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_mid	random	mid	8.0094	356	385.19	comm	ok	True	ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)	aten::empty | aten::mm | sglang::outplace_all_reduce	timestamp_enclosure	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[16384, 4096], [4096, 4640]], ""Input Strides"": [[4096, 1], [1, 4096]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_mid	random	mid	7.6216	2492	52.36	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 4u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	aten::as_strided | sglang::outplace_all_reduce | aten::view	external_id=13380	"{""Concrete Inputs"": ["""", ""[38, 32]"", ""[4640, 1]"", ""4608""], ""Input Dims"": [[38, 32], [], [], []], ""Input Strides"": [[4640, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_mid	random	mid	6.9639	480	248.39	other	ok	True	_chunk_scan_fwd_kernel	aten::as_strided | sglang::nemotron_mamba2_with_output	external_id=19001	"{""Concrete Inputs"": ["""", """", ""71""], ""Input Dims"": [[16384, 4096], [16384, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_mid	random	mid	6.9288	356	333.22	comm	ok	True	void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 4u, true>(host::distributed::AllReduceData const*, (anonymous namespace)::AllReduceParams, device::distributed::PullController)	aten::as_strided | sglang::outplace_all_reduce	external_id=22919	"{""Concrete Inputs"": ["""", ""[2, 1, 1]"", ""[1, 1, 1]"", """"], ""Input Dims"": [[2, 1], [], [], []], ""Input Strides"": [[1, 1], [], [], []], ""Input type"": [""bool"", ""ScalarList"", ""ScalarList"", """"]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_mid	random	mid	6.7805	480	241.85	other	ok	True	_chunk_state_fwd_kernel	aten::as_strided | sglang::nemotron_mamba2_with_output	external_id=19106	"{""Concrete Inputs"": ["""", """", ""73""], ""Input Dims"": [[16384, 4096], [16384, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_mid	random	mid	6.2103	160	664.54	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_relu2_bN_tma_tmaSf_rgTma_clmp_dynB_sm100f	aten::empty | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[30], [30], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_mid	random	mid	5.7790	160	618.38	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::empty | sglang::outplace_all_reduce	external_id=16016	"{""Concrete Inputs"": [""[1, 128, 2, 128, 128]"", ""6"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_mid	random	mid	4.3787	480	156.18	other	ok	True	_state_passing_fwd_kernel	sglang::nemotron_mamba2_with_output | aten::as_strided	external_id=19106	"{""Concrete Inputs"": ["""", """", ""73""], ""Input Dims"": [[16384, 4096], [16384, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_mid	random	mid	4.1446	1056	67.20	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	aten::empty | sglang::nemotron_mamba2_with_output | aten::select	external_id=9987	"{""Concrete Inputs"": [""[38, 2048]"", ""15"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_mid	random	mid	3.4790	160	372.27	quant_gemm	ok	True	nvjet_sm100_tst_160x192_64x6_1x2_2cta_h_bz_TNN	aten::index_put_ | aten::slice | aten::as_strided	external_id=18513	"{""Concrete Inputs"": ["""", """", """", ""False""], ""Input Dims"": [[1025, 32, 64, 128], [], [30, 32, 64, 128], []], ""Input Strides"": [[262144, 8192, 128, 1], [], [262144, 8192, 128, 1], []], ""Input type"": [""float"", """", ""float"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_mid	random	mid	3.2927	512	110.11	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT	aten::empty | aten::mm | aten::reshape | aten::split_with_sizes	external_id=19203	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[16384, 2048], [2048, 4096]], ""Input Strides"": [[2048, 1], [1, 2048]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	random_mid	random	mid	3.2652	720	77.64	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x16x128_s5_et128x16_m128x16x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::_to_copy | aten::view	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""4"", ""0"", """", """", ""False"", """"], ""Input Dims"": [[32], [], [], [], [], [], []], ""Input Strides"": [[1], [], [], [], [], [], []], ""Input type"": [""long int"", ""Scalar"", ""Scalar"", """", """", ""Scalar"", """"]}"
