model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_low	sharegpt	low	35.5889	3204	42.68	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 4u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	sglang::outplace_all_reduce | aten::reshape | sglang::nemotron_mamba2_with_output	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""0""], ""Input Dims"": [[20, 4096], [20, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_low	sharegpt	low	8.4224	352	91.94	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	sglang::nemotron_mamba2_with_output | aten::mm | aten::fill_ | aten::_index_put_impl_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[2, 4096], []], ""Input Strides"": [[4096, 1], []], ""Input type"": [""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_low	sharegpt	low	7.7529	4096	7.27	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN	aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_low	sharegpt	low	4.9742	2816	6.79	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | aten::argmax	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[1, 131072], [], []], ""Input Strides"": [[131072, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_low	sharegpt	low	3.4463	2816	4.70	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign128o409640961_tensorptrbf16gmemalign_0	aten::copy_ | aten::argmax	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[1, 131072], [], []], ""Input Strides"": [[131072, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_low	sharegpt	low	3.0168	1280	9.06	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x1_v_bz_splitK_TNT	aten::copy_ | aten::as_strided | aten::argmax	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 1]"", ""[1, 0]"", """"], ""Input Dims"": [[1], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", """"]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_low	sharegpt	low	2.8485	1280	8.55	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 512, 22, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> > >(moe::dev::routing::routingCustom::KernelParams<float, __nv_bfloat16, 512, 22, moe::dev::routing::TopKExpertSelect<moe::dev::routing::SigmoidBiasPreprocess, moe::dev::routing::ScaledSumNormalizePostprocess> >)	aten::copy_ | aten::view | aten::resolve_neg | aten::_index_put_impl_	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""[]""], ""Input Dims"": [[1], []], ""Input Strides"": [[1], []], ""Input type"": [""long int"", ""ScalarList""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_low	sharegpt	low	2.3785	1280	7.14	quant_gemm	ok	True	nvjet_sm100_tss_32x64_64x16_4x1_v_bz_splitK_TNN	aten::as_strided | aten::argmax | aten::to | aten::empty_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 131072]"", ""[131072, 1]"", ""0""], ""Input Dims"": [[1, 131072], [], [], []], ""Input Strides"": [[131072, 1], [], [], []], ""Input type"": [""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_low	sharegpt	low	2.3652	1440	6.31	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true>)	sglang::nemotron_mamba2_with_output | aten::empty_strided | aten::as_strided | aten::split_with_sizes | aten::view	timestamp_enclosure	"{""Concrete Inputs"": [""[1]"", ""[1]"", ""4"", ""0"", """", ""False""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_low	sharegpt	low	2.1788	680	12.31	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128_s5_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	sglang::nemotron_mamba2_with_output | aten::empty	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""2""], ""Input Dims"": [[20, 4096], [20, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
