model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_mid	sharegpt	mid	9.2549	480	267.22	other	ok	True	_chunk_scan_fwd_kernel	sglang::nemotron_mamba2_with_output	external_id=95096	"{""Concrete Inputs"": ["""", """", ""75""], ""Input Dims"": [[10240, 4096], [10240, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_mid	sharegpt	mid	7.7954	2492	43.35	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 4u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	sglang::outplace_all_reduce	external_id=86102	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[18, 4096], [], []], ""Input Strides"": [[4096, 1], [], []], ""Input type"": [""c10::BFloat16"", """", """"]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_mid	sharegpt	mid	6.2397	356	242.91	comm	ok	True	ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)	sglang::outplace_all_reduce | aten::copy_ | aten::remainder | aten::mm | aten::item	external_id=89733	"{""Concrete Inputs"": ["""", ""128""], ""Input Dims"": [[], []], ""Input Strides"": [[], []], ""Input type"": [""int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_mid	sharegpt	mid	6.1174	356	238.15	comm	ok	True	void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 4u, true>(host::distributed::AllReduceData const*, (anonymous namespace)::AllReduceParams, device::distributed::PullController)	sglang::outplace_all_reduce	external_id=101431	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[262, 4096], [], []], ""Input Strides"": [[4096, 1], [], []], ""Input type"": [""c10::BFloat16"", """", """"]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_mid	sharegpt	mid	5.5113	704	108.50	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT	aten::mm | aten::item	external_id=90273	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[10111, 4096], [4096, 4640]], ""Input Strides"": [[4096, 1], [1, 4096]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_mid	sharegpt	mid	5.0989	480	147.22	other	ok	True	_chunk_state_fwd_kernel	sglang::nemotron_mamba2_with_output	external_id=94521	"{""Concrete Inputs"": ["""", """", ""66""], ""Input Dims"": [[10240, 4096], [10240, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_mid	sharegpt	mid	4.9716	160	430.64	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_relu2_bN_tma_tmaSf_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::fill_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[31], [31], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_mid	sharegpt	mid	4.7309	160	409.79	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::fill_ | aten::copy_ | sglang::nemotron_mamba2_with_output | aten::remainder | sglang::outplace_all_reduce	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""11""], ""Input Dims"": [[10240, 4096], [10240, 4096], []], ""Input Strides"": [[4096, 1], [4096, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_mid	sharegpt	mid	4.5083	840	74.38	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x16x128_s5_et128x16_m128x16x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::view | aten::empty_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[32], [32], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Super-120B-A12B-BF16	sharegpt_mid	sharegpt	mid	4.1002	480	118.39	other	ok	True	_state_passing_fwd_kernel	sglang::nemotron_mamba2_with_output | aten::unsqueeze	external_id=94705	"{""Concrete Inputs"": ["""", ""3""], ""Input Dims"": [[31, 1, 1], []], ""Input Strides"": [[1, 1, 1], []], ""Input type"": [""bool"", ""Scalar""]}"
