model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	random_mid	random	mid	10.4549	196	1965.22	gemm	ok	True	cutlass3x_sm100_simt_sgemm_f32_f32_f32_f32_f32_128x64x16_1x1x1_3_tnn_align1_bias_f32_relu	aten::mm | aten::view | nccl:_all_gather_base	external_id=47120	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[12203, 8192], [8192, 512]], ""Input Strides"": [[8192, 1], [1, 8192]], ""Input type"": [""float"", ""float""]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	random_mid	random	mid	7.4759	768	358.63	gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS1_10collective13CollectiveMmaINS1_35MainloopSm100TmaUmmaWarpSpecializedILi17ELi2ELi4ENS5_IJNS4_1CILi2EEESB_NSA_ILi1EEEEEEEENS5_IJNSA_ILi256EEENSA_ILi128EEENSA_ILi64EEEEEENS_12float_e4m3_tENS5_IJlSC_lEEESJ_SK_NS4_8TiledMMAINS4_8MMA_AtomIJNS4_10MMA_TraitsINS4_25SM100_MMA_F8F6F4_2x1SM_SSEJSJ_SJ_fSF_SG_NS4_17integral_constantINS4_4UMMA5MajorELSR_0EEESS_NSP_INSQ_7ScaleInELST_0EEESU_EEEEEENS4_6LayoutINS5_IJSC_SC_SC_EEENS5_IJNSA_ILi0EEESZ_SZ_EEEEENS5_IJNS4_10UnderscoreES12_S12_EEEEENS4_28SM100_TMA_2SM_LOAD_MULTICASTENS4_14ComposedLayoutINS4_7SwizzleILi2ELi4ELi3EEENS4_18smem_ptr_flag_bitsILi8EEENSX_INS5_IJNSA_ILi8EEESH_EEENS5_IJSH_SC_EEEEEEEvNS4_8identityENS4_18SM100_TMA_2SM_LOADES1F_vS1G_EENS_8epilogue10collective18CollectiveEpilogueINS1J_23Sm100TmaWarpSpecializedILi4ELi2ELi32ELb0ELb1EEEJNS5_IJSG_SG_SH_EEENS5_IJNSX_ISG_SC_EENSX_INSA_ILi32EEESC_EEEEEvSK_NS_10bfloat16_tESK_NS1J_6fusion15Sm90TreeVisitorINS1U_11Sm90ComputeINS_10multipliesES1T_fLNS_15FloatRoundStyleE2EvEEJNS1U_16Sm90ColBroadcastILi0ESI_ffNS5_IJSC_SZ_SZ_EEELi4ELb1EEENS1V_INS1W_IS1X_ffLS1Y_2EvEEJNS1U_16Sm90RowBroadcastILi0ESI_ffNS5_IJSZ_SC_SZ_EEELi4ELb1EEENS1U_12Sm90AccFetchEEEEEEENS4_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_32dp32b32xENS4_13SM90_TMA_LOADENS16_IS18_NS19_ILi16EEENSX_INS5_IJS1B_S1Q_EEENS5_IJS1Q_SC_EEEEEEENS4_39AutoVectorizingCopyWithAssumedAlignmentILi128EEENS4_14SM90_TMA_STOREES2J_S2L_S2L_EEEvvEEEEvNT_6ParamsE	sgl_kernel::fp8_scaled_mm	external_id=38507	"{""Concrete Inputs"": ["""", """", """", """", ""15"", """"], ""Input Dims"": [[12203, 8192], [8192, 8768], [12203, 1], [8768, 1], [], []], ""Input Strides"": [[8192, 1], [1, 8192], [1, 1], [1, 1], [], []], ""Input type"": [""c10::Float8_e4m3fn"", ""c10::Float8_e4m3fn"", ""float"", ""float"", ""Scalar"", """"]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	random_mid	random	mid	5.2885	3752	51.93	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 4u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[128], [128], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	random_mid	random	mid	3.7711	1344	103.37	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s9_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | sglang::outplace_all_reduce | aten::mm	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[128], [128], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	random_mid	random	mid	3.2551	192	624.61	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x128x256u2_s6_et128x32_m256x128x64_c2x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_relu2_bN_tma_tmaSf_rgTma_clmp_dynB_sm100f	aten::_local_scalar_dense	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[]], ""Input Strides"": [[]], ""Input type"": [""bool""]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	random_mid	random	mid	3.1567	3980	29.22	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o819281921_tensorptrbf16gmemalign128o819281921_tensorptrbf16gmemalign_0	aten::view | sglang::outplace_all_reduce | aten::_local_scalar_dense	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[38, 8192], [], []], ""Input Strides"": [[8192, 1], [], []], ""Input type"": [""c10::BFloat16"", """", """"]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	random_mid	random	mid	2.2729	192	436.14	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x128x256_s6_et128x128_m256x128x64_c2x1x1_16dp256b_rM_TN_transOut_tokSfBFp32_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::_local_scalar_dense	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[]], ""Input Strides"": [[]], ""Input type"": [""bool""]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	random_mid	random	mid	2.0234	308	242.03	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT	aten::mm | aten::linear | sglang::inplace_all_reduce	external_id=49384	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[12203, 2560], [2560, 8192]], ""Input Strides"": [[2560, 1], [1, 2560]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	random_mid	random	mid	2.0231	768	97.05	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512u2_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_relu2_bN_ldgsts_ldgstsSf_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::view | aten::resolve_neg | c10d::broadcast_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[128], [128], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	random_mid	random	mid	2.0223	768	97.01	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_relu2_bN_ldgsts_ldgstsSf_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::resolve_neg | aten::cat | aten::mm | aten::reciprocal	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[128], [128], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
