model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	sharegpt_low	sharegpt	low	14.6607	4224	21.17	comm	ok	True	void (anonymous namespace)::all_reduce_one_shot_push_kernel<__nv_bfloat16, 4u, true>((anonymous namespace)::AllReducePushData, device::distributed::PushController)	aten::copy_ | sglang::outplace_all_reduce | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[4], [4], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	sharegpt_low	sharegpt	low	12.6743	6144	12.58	gemm	ok	True	_ZN7cutlass13device_kernelINS_4gemm6kernel13GemmUniversalIN4cute5tupleIJiiiiEEENS1_10collective13CollectiveMmaINS1_35MainloopSm100TmaUmmaWarpSpecializedILi13ELi2ELi4ENS5_IJNS4_1CILi1EEENSA_ILi4EEESB_EEEEENS5_IJNSA_ILi64EEESF_NSA_ILi128EEEEEENS_12float_e4m3_tENS5_IJlSB_lEEESI_SJ_NS4_8TiledMMAINS4_8MMA_AtomIJNS4_10MMA_TraitsINS4_19SM100_MMA_F8F6F4_SSEJSI_SI_fSF_SF_NS4_17integral_constantINS4_4UMMA5MajorELSQ_0EEESR_NSO_INSP_7ScaleInELSS_0EEEST_EEEEEENS4_6LayoutINS5_IJSB_SB_SB_EEENS5_IJNSA_ILi0EEESY_SY_EEEEENS5_IJNS4_10UnderscoreES11_S11_EEEEENS4_23SM90_TMA_LOAD_MULTICASTENS4_14ComposedLayoutINS4_7SwizzleILi3ELi4ELi3EEENS4_18smem_ptr_flag_bitsILi8EEENSW_INS5_IJNSA_ILi8EEESG_EEENS5_IJSG_SB_EEEEEEEvNS4_8identityENS4_13SM90_TMA_LOADES1E_vS1F_EENS_8epilogue10collective18CollectiveEpilogueINS1I_23Sm100TmaWarpSpecializedILi1ELi1ELi32ELb0ELb1EEEJSH_NS5_IJNSW_ISF_SB_EES1N_EEEvSJ_NS_10bfloat16_tESJ_NS1I_6fusion15Sm90TreeVisitorINS1Q_11Sm90ComputeINS_10multipliesES1P_fLNS_15FloatRoundStyleE2EvEEJNS1Q_16Sm90ColBroadcastILi0ESH_ffNS5_IJSB_SY_SY_EEELi4ELb1EEENS1R_INS1S_IS1T_ffLS1U_2EvEEJNS1Q_16Sm90RowBroadcastILi0ESH_ffNS5_IJSY_SB_SY_EEELi4ELb1EEENS1Q_12Sm90AccFetchEEEEEEENS4_5SM1004TMEM4LOAD26SM100_TMEM_LOAD_16dp256b8xES1G_NS15_IS17_NS18_ILi16EEENSW_INS5_IJS1A_SF_EEENS5_IJSF_SB_EEEEEEENS4_17SM75_U32x4_LDSM_NENS4_14SM90_TMA_STOREES2E_NS4_17SM90_U32x4_STSM_NENS4_39AutoVectorizingCopyWithAssumedAlignmentILi128EEEEEEvvEEEEvNT_6ParamsE	aten::copy_ | aten::view | aten::neg | aten::_to_copy | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	sharegpt_low	sharegpt	low	9.1448	1568	35.57	gemm	ok	True	void cutlass::Kernel2<cutlass_80_simt_sgemm_64x64_8x5_tn_align1>(cutlass_80_simt_sgemm_64x64_8x5_tn_align1::Params)	aten::mm | aten::copy_ | aten::as_strided | gloo:broadcast | aten::ne	external_id=130158	"{""Concrete Inputs"": ["""", ""[1]"", ""[1]"", ""0""], ""Input Dims"": [[1], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	sharegpt_low	sharegpt	low	4.5010	3988	6.88	gemm	ok	True	kernel_cutlass_kernel_flashinfernormkernelsfused_add_rmsnormFusedAddRMSNormKernel_object_at__tensorptrbf16gmemalign128o819281921_tensorptrbf16gmemalign128o819281921_tensorptrbf16gmemalign_0	aten::view | sglang::outplace_all_reduce	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", """"], ""Input Dims"": [[18, 8192], [], []], ""Input Strides"": [[8192, 1], [], []], ""Input type"": [""c10::BFloat16"", """", """"]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	sharegpt_low	sharegpt	low	3.7038	2304	9.80	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_splitK_TNT	aten::mm	external_id=126569	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[4, 16384], [16384, 2048]], ""Input Strides"": [[16384, 1], [1, 16384]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	sharegpt_low	sharegpt	low	3.5595	1200	18.09	quant_gemm	ok	True	bmm_Bfloat16_E2m1E2m1_Fp32_bA16_bB16_t128x8x256_s6_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_bN_rgTma_clmp_dynB_sm100f	aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[3168, 2048]"", ""15"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	sharegpt_low	sharegpt	low	3.1299	2208	8.65	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT	aten::mm | aten::as_strided | aten::slice	external_id=125842	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[4, 2560], [2560, 8192]], ""Input Strides"": [[2560, 1], [1, 2560]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	sharegpt_low	sharegpt	low	2.7905	864	19.70	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_relu2_bN_ldgsts_ldgstsSf_rgTma_clmp_dynB_sm100f	aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[3168, 2048]"", ""15"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	sharegpt_low	sharegpt	low	2.7751	864	19.59	quant_gemm	ok	True	bmm_E2m1_E2m1E2m1_Fp32_bA16_bB16_bC16_t128x8x512u2_s5_et128x8_m128x8x64_c1x1x1_16dp256b_rM_TN_transOut_schPd2x1x2x3_biasFp32M_relu2_bN_ldgsts_ldgstsSf_rgTma_clmp_dynB_sm100f	aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[3168, 2048]"", ""15"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
nvidia/NVIDIA-Nemotron-3-Ultra-550B-A55B-NVFP4	sharegpt_low	sharegpt	low	2.4813	1828	8.28	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true>)	aten::alias | aten::neg	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
