model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	18.5157	13464	9.58	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::copy_ | aten::slice	external_id=271	"{""Concrete Inputs"": ["""", ""0"", ""1"", ""2"", ""1""], ""Input Dims"": [[2], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""int"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	18.2287	12032	10.55	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::as_strided | aten::argmax | aten::empty | aten::empty_strided | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""-1"", ""False""], ""Input Dims"": [[1, 151936], [], []], ""Input Strides"": [[151936, 1], [], []], ""Input type"": [""float"", ""Scalar"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	6.2162	6016	7.20	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen	detach_ | c10d::broadcast_ | aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	5.3693	13608	2.75	gemm	ok	True	void cublasLt::splitKreduce_kernel<32, 16, int, float, __nv_bfloat16, float, __nv_bfloat16, false, float, __nv_bfloat16, __nv_bfloat16, true, false, false, false>(cublasLt::cublasSplitKParams<float>, float const*, __nv_bfloat16 const*, float*, __nv_bfloat16*, float const*, float const*, __nv_bfloat16 const*, float const*, __nv_bfloat16*, void*, long, float*, int*, float*, float*, float const*, float const*, float const*, float const*, float const*)	sglang::unified_attention_with_output | aten::copy_ | aten::_index_put_impl_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[38, 1024], [38, 1024], []], ""Input Strides"": [[1024, 1], [1024, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	4.9782	2256	15.37	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x16x128u2_s3_et128x16_m128x16x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_biasBfloat16Mn_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::_index_put_impl_ | aten::copy_ | gloo:broadcast | c10d::broadcast_ | aten::lift_fresh	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""0"", ""0"", ""False"", ""-1""], ""Input Dims"": [[[1]], [], [], [], [], []], ""Input Strides"": [[[1]], [], [], [], [], []], ""Input type"": [""TensorList"", """", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	4.6453	6016	5.38	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN	aten::copy_ | aten::sub	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[4096, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	4.2812	6768	4.40	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	sglang::unified_attention_with_output | aten::copy_ | aten::slice	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""76"", """", """", """", """", """", """", """"], ""Input Dims"": [[48, 1024], [48, 1, 128], [48, 1, 128], [48, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	3.7540	470	55.62	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s5_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_biasBfloat16Mn_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::slice | gloo:broadcast | aten::sub | aten::copy_ | c10d::broadcast_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[1], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	2.8976	6016	3.35	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 128, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> > >(moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 128, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> >)	aten::copy_ | aten::_local_scalar_dense | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	2.6943	3008	6.24	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x16x128_s6_et128x16_m128x16x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	gloo:broadcast | c10d::broadcast_ | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	2.6157	1504	12.11	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x16x128u2_s5_et128x16_m128x16x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | detach_ | c10d::broadcast_ | gloo:broadcast	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	2.3895	6768	2.46	rope	ok	True	void (anonymous namespace)::fused_rope_store_kernel<true, 128l, true, __nv_bfloat16, long, 16u>((anonymous namespace)::FusedRopeStoreParams)	sglang::unified_attention_with_output | aten::copy_ | aten::empty_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[38, 1024], [38, 1024], []], ""Input Strides"": [[1024, 1], [1024, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	2.2252	564	27.48	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128_s5_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::slice | gloo:broadcast | c10d::broadcast_ | aten::copy_ | aten::add	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""0"", ""0"", ""False"", ""-1""], ""Input Dims"": [[[1]], [], [], [], [], []], ""Input Strides"": [[[1]], [], [], [], [], []], ""Input type"": [""TensorList"", """", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	random_low	random	low	2.1865	752	20.25	quant_gemm	ok	True	nvjet_sm100_tst_64x16_64x16_2x4_2cta_h_bz_splitK_TNT	aten::copy_ | aten::slice | sglang::unified_attention_with_output	external_id=271	"{""Concrete Inputs"": ["""", ""0"", ""1"", ""2"", ""1""], ""Input Dims"": [[2], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""int"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
