model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_high	sharegpt	high	20.9057	5984	73.93	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_twoshot_sync<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>, std::array<int, 8>, std::array<int, 8>)	sglang::unified_attention_with_output | aten::copy_ | aten::slice | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0"", ""0"", ""1232"", ""1""], ""Input Dims"": [[1280, 1, 128], [], [], [], []], ""Input Strides"": [[1280, 128, 1], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_high	sharegpt	high	6.9139	7480	19.56	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::copy_ | aten::as_strided | aten::permute	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""[26751, 1, 64, 128]"", ""[8192, 8192, 128, 1]"", """"], ""Input Dims"": [[26751, 1, 64, 128], [], [], []], ""Input Strides"": [[8192, 128, 128, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", """"]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_high	sharegpt	high	5.2235	3760	29.40	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP64VarSeqQ128Kv128PersistentContext	sglang::unified_attention_with_output	external_id=75810	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""49"", """", """", """", """", """", """", """"], ""Input Dims"": [[576, 1024], [576, 1, 128], [576, 1, 128], [576, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_high	sharegpt	high	4.4558	128	736.66	comm	ok	True	void (anonymous namespace)::all_reduce_two_shot_kernel<__nv_bfloat16, 8u, true>(host::distributed::AllReduceData const*, (anonymous namespace)::AllReduceParams, device::distributed::PullController)	sglang::unified_attention_with_output | aten::as_strided | aten::slice | aten::view	external_id=70088	"{""Concrete Inputs"": ["""", ""0"", ""0"", ""2176"", ""1""], ""Input Dims"": [[2215], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""int"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_high	sharegpt	high	4.3399	3760	24.43	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x4_h_bz_splitK_TNT	aten::copy_ | sglang::unified_attention_with_output | aten::view	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[17, 1024], [17, 1024], []], ""Input Strides"": [[1024, 1], [1024, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_high	sharegpt	high	4.3254	1034	88.52	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::as_strided | sglang::unified_attention_with_output | aten::cat	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[27]"", ""[1]"", ""0""], ""Input Dims"": [[27], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_high	sharegpt	high	4.3043	1034	88.09	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::cat | aten::slice | sglang::unified_attention_with_output	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0"", ""256"", ""9223372036854775807"", ""1""], ""Input Dims"": [[256], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""long int"", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_high	sharegpt	high	3.8811	1128	72.81	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128_s4_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::as_strided | aten::resolve_neg	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[100]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_high	sharegpt	high	3.7895	752	106.64	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x128x64u2_s6_et128x128_m256x128x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::as_strided | aten::copy_ | aten::cat | gloo:broadcast	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[47], [47], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_high	sharegpt	high	3.2015	3008	22.52	quant_gemm	ok	True	nvjet_sm100_tst_64x16_64x16_2x1_2cta_v_bz_TNT	aten::copy_ | aten::as_strided | aten::cat | aten::_foreach_copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[100], [100], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
