model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_low	sharegpt	low	20.0156	13464	10.38	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::copy_ | aten::resize_ | aten::slice | aten::_reshape_alias	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[17, 1024], [17, 1024], []], ""Input Strides"": [[1024, 1], [1024, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_low	sharegpt	low	18.1577	12032	10.54	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_low	sharegpt	low	6.2069	6016	7.21	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP64MultiCtasKvVarSeqQ8Kv128StaticSwapsAbForGen	c10d::broadcast_ | detach_ | aten::argmax	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""0"", ""0"", ""False"", ""-1""], ""Input Dims"": [[[1]], [], [], [], [], []], ""Input Strides"": [[[1]], [], [], [], [], []], ""Input type"": [""TensorList"", """", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_low	sharegpt	low	4.9606	2256	15.36	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x16x128u2_s3_et128x16_m128x16x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_biasBfloat16Mn_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	gloo:broadcast | aten::_index_put_impl_ | aten::add | aten::view | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", ""False"", ""False""], ""Input Dims"": [[3344], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""long int"", """", ""long int"", ""Scalar"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_low	sharegpt	low	4.6345	6016	5.38	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_TNN	aten::copy_ | aten::resolve_neg | aten::_index_put_impl_ | aten::add	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1, 1], [1, 1], []], ""Input Strides"": [[4096, 1], [1, 1], []], ""Input type"": [""int"", ""int"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_low	sharegpt	low	4.2049	6768	4.34	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	sglang::unified_attention_with_output | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""70"", """", """", """", """", """", """", """"], ""Input Dims"": [[20, 1024], [20, 1, 128], [20, 1, 128], [20, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_low	sharegpt	low	4.0260	752	37.40	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x4_h_bz_splitK_TNT	aten::copy_ | aten::resize_ | sglang::unified_attention_with_output	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[17, 1024], [17, 1024], []], ""Input Strides"": [[1024, 1], [1024, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_low	sharegpt	low	3.1658	1598	13.84	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x16x128u2_s5_et128x16_m128x16x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::slice | sglang::unified_attention_with_output | aten::as_strided | aten::copy_ | aten::reshape	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""[17, 1024]"", ""[1280, 1]"", ""0""], ""Input Dims"": [[20, 1024], [], [], []], ""Input Strides"": [[1280, 1], [], [], []], ""Input type"": [""c10::BFloat16"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_low	sharegpt	low	2.8932	6016	3.36	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 128, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> > >(moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 128, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> >)	aten::add | aten::copy_ | aten::cumsum | gloo:broadcast	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""1""], ""Input Dims"": [[1], [], []], ""Input Strides"": [[1], [], []], ""Input type"": [""int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_low	sharegpt	low	2.6861	3008	6.24	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x16x128_s6_et128x16_m128x16x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | gloo:broadcast | c10d::broadcast_ | aten::add	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
