model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_mid	sharegpt	mid	17.2090	3024	107.23	comm	ok	True	ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)	sglang::unified_attention_with_output | aten::empty | aten::lift_fresh	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""0"", """", """", """", """", """", """", """"], ""Input Dims"": [[2560, 1024], [2560, 1, 128], [2560, 1, 128], [2560, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_mid	sharegpt	mid	9.7785	1504	122.50	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::as_strided | sglang::unified_attention_with_output	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[14, 151936]"", ""[151936, 1]"", ""0""], ""Input Dims"": [[14, 151936], [], [], []], ""Input Strides"": [[151936, 1], [], [], []], ""Input type"": [""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_mid	sharegpt	mid	9.5905	10472	17.26	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	sglang::unified_attention_with_output | aten::copy_ | aten::empty_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""1"", """", """", """", """", """", """", """"], ""Input Dims"": [[8, 1024], [8, 1, 128], [8, 1, 128], [8, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_mid	sharegpt	mid	8.4873	9024	17.72	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | sglang::unified_attention_with_output | aten::view | aten::empty_strided | aten::cumsum	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""1"", """", """", """", """", """", """", """"], ""Input Dims"": [[8, 1024], [8, 1, 128], [8, 1, 128], [8, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_mid	sharegpt	mid	4.5084	1692	50.20	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s6_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::resolve_neg | detach_ | aten::argmax | aten::empty | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[32]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_mid	sharegpt	mid	3.9592	940	79.36	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::lift_fresh	external_id=47523	"{""Concrete Inputs"": [""""], ""Input Dims"": [[14]], ""Input Strides"": [[1]], ""Input type"": [""int""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_mid	sharegpt	mid	3.6934	2820	24.68	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s6_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::add | detach_ | aten::_index_put_impl_ | aten::copy_ | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", ""False"", ""False""], ""Input Dims"": [[3344], [], [32], [], []], ""Input Strides"": [[1], [], [1], [], []], ""Input type"": [""long int"", """", ""long int"", ""Scalar"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_mid	sharegpt	mid	3.5894	3008	22.48	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP64VarSeqQ128Kv128PersistentContext	sglang::unified_attention_with_output | detach_	external_id=47609	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""0"", """", """", """", """", """", """", """"], ""Input Dims"": [[2560, 1024], [2560, 1, 128], [2560, 1, 128], [2560, 1024], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1280, 1], [1280, 128, 1], [1280, 128, 1], [1024, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_mid	sharegpt	mid	3.0496	3024	19.00	norm	ok	True	void flashinfer::norm::FusedAddRMSNormKernel<8u, __nv_bfloat16>(__nv_bfloat16*, __nv_bfloat16*, __nv_bfloat16*, unsigned int, unsigned int, unsigned int, float, float)	aten::copy_ | sglang::unified_attention_with_output | aten::as_strided | aten::empty_like | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[2500, 1024], [2500, 1024], []], ""Input Strides"": [[1024, 1], [1024, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
Qwen/Qwen3-235B-A22B-Instruct-2507	sharegpt_mid	sharegpt	mid	2.9966	1128	50.05	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s5_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::resolve_neg | detach_ | aten::as_strided | aten::argmax | aten::index_put_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[32]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
