model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_high	random	high	16.6524	2976	99.25	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x32x128u2_s6_et64x32_m64x32x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	aten::resolve_neg | aten::as_strided | aten::slice | aten::cat	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[288]"", ""[1]"", ""0""], ""Input Dims"": [[288], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_high	random	high	13.4480	7872	30.30	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::copy_ | sglang::unified_attention_with_output | aten::view	external_id=21868	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_high	random	high	8.0822	2976	48.17	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x32x128u2_s6_et64x32_m64x32x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::cat | aten::as_strided | aten::resolve_neg	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[448], [9]], []], ""Input Strides"": [[[1], [1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_high	random	high	8.0039	8928	15.90	quant_gemm	ok	True	void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, true, true, false, unsigned int>(__nv_bfloat16 const*, c10::Float8_e4m3fn*, unsigned int*, int const*, int, int, int, int, int)	aten::copy_ | sglang::unified_attention_with_output | aten::empty_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""12"", """", """", """", """", """", """", """"], ""Input Dims"": [[8, 1536], [8, 1, 128], [8, 1, 128], [8, 1536], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1792, 1], [1792, 128, 1], [1792, 128, 1], [1536, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_high	random	high	7.0476	984	127.04	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_twoshot_sync<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>, std::array<int, 8>, std::array<int, 8>)	aten::copy_ | sglang::unified_attention_with_output | aten::as_strided | aten::empty	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""5"", """", """", """", """", """", """", """"], ""Input Dims"": [[1536, 1536], [1536, 1, 128], [1536, 1, 128], [1536, 1536], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1792, 1], [1792, 128, 1], [1792, 128, 1], [1536, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_high	random	high	5.4349	3968	24.29	moe	ok	True	void moe::dev::activation::activationDeepSeekKernel<moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 4, true> >(moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 4, true>)	aten::as_strided | aten::empty	external_id=28954	"{""Concrete Inputs"": ["""", ""[1]"", ""[1]"", ""447""], ""Input Dims"": [[448], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_high	random	high	4.9638	496	177.51	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x128x128u2_s5_et64x128_m64x128x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW4_dynB_sm100f	aten::as_strided | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[100]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_high	random	high	3.6136	2480	25.84	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_1x2_h_bz_splitK_TNT	aten::as_strided | aten::empty_strided | aten::copy_ | aten::slice | aten::cat	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[0]"", ""[1]"", ""3024932""], ""Input Dims"": [[628], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_high	random	high	3.1775	1984	28.41	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP32VarSeqQ128Kv128PersistentContext	sglang::unified_attention_with_output | aten::to	external_id=28956	"{""Concrete Inputs"": ["""", """", ""4"", ""False"", ""False"", """"], ""Input Dims"": [[1], [], [], [], [], []], ""Input Strides"": [[1], [], [], [], [], []], ""Input type"": [""long int"", """", ""Scalar"", ""Scalar"", ""Scalar"", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_high	random	high	2.4196	3968	10.82	moe	ok	True	void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	aten::as_strided	external_id=28954	"{""Concrete Inputs"": ["""", ""[1]"", ""[1]"", ""447""], ""Input Dims"": [[448], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
