model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_low	random	low	22.6083	8856	16.52	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::copy_ | sglang::unified_attention_with_output | aten::as_strided | aten::permute	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""[0, 2, 1, 3]""], ""Input Dims"": [[88285, 32, 1, 128], []], ""Input Strides"": [[4096, 128, 128, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_low	random	low	17.2478	8928	12.50	quant_gemm	ok	True	void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, true, true, false, unsigned int>(__nv_bfloat16 const*, c10::Float8_e4m3fn*, unsigned int*, int const*, int, int, int, int, int)	sglang::unified_attention_with_output | aten::copy_ | aten::view | aten::mm	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""10"", """", """", """", """", """", """", """"], ""Input Dims"": [[8, 1536], [8, 1, 128], [8, 1, 128], [8, 1536], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1792, 1], [1792, 128, 1], [1792, 128, 1], [1536, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_low	random	low	10.5719	8928	7.66	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 16u, 128u, 128u, 1u, 128u, 128u, 128u, 12u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	gloo:broadcast | aten::as_strided | aten::copy_ | sglang::unified_attention_with_output | aten::add	external_id=4440	"{""Concrete Inputs"": ["""", ""[1]"", ""[1]"", ""0""], ""Input Dims"": [[512], [], [], []], ""Input Strides"": [[1], [], [], []], ""Input type"": [""long int"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_low	random	low	7.5499	4464	10.95	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | sglang::unified_attention_with_output | aten::as_strided | aten::permute	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""[0, 2, 1, 3]""], ""Input Dims"": [[88285, 32, 1, 128], []], ""Input Strides"": [[4096, 128, 128, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_low	random	low	4.6774	3968	7.63	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP32MultiCtasKvCgaVarSeqQ16Kv128StaticSwapsAbForGen	aten::copy_ | gloo:broadcast | aten::_local_scalar_dense | aten::add | c10d::broadcast_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_low	random	low	4.4995	2480	11.74	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x16x128u2_s6_et64x16_m64x16x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schedS_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	aten::copy_ | aten::add | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_low	random	low	2.7330	2480	7.13	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x16x128u2_s6_et64x16_m64x16x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schedS_bN_rgTma_clmp_dynB_sm100f	aten::copy_ | aten::add | aten::as_strided	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_low	random	low	2.4399	4464	3.54	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	sglang::unified_attention_with_output | aten::copy_ | aten::empty_strided | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": [""[6, 12, 128]"", ""[1536, 128, 1]"", ""15"", ""0"", """", ""False""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_low	random	low	2.2058	3968	3.60	moe	ok	True	void moe::dev::activation::activationDeepSeekKernel<moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 1, true> >(moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 1, true>)	aten::copy_ | aten::empty | aten::argmax | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": [""[1, 2]"", ""4"", ""0"", """", """", ""0""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", ""Scalar"", """", """", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	random_low	random	low	2.1706	3968	3.54	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 160, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> > >(moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 160, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> >)	gloo:broadcast | aten::copy_ | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
