model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_low	sharegpt	low	21.6752	8856	15.65	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	sglang::unified_attention_with_output | aten::empty_strided | aten::empty | aten::copy_ | aten::slice	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""2"", """", """", """", """", """", """", """"], ""Input Dims"": [[20, 1536], [20, 1, 128], [20, 1, 128], [20, 1536], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1792, 1], [1792, 128, 1], [1792, 128, 1], [1536, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_low	sharegpt	low	16.2455	8928	11.64	quant_gemm	ok	True	void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, true, true, false, unsigned int>(__nv_bfloat16 const*, c10::Float8_e4m3fn*, unsigned int*, int const*, int, int, int, int, int)	sglang::unified_attention_with_output | aten::copy_ | aten::index	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[17, 1536], [17, 1536], []], ""Input Strides"": [[1536, 1], [1536, 1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_low	sharegpt	low	10.6649	8928	7.64	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 16u, 128u, 128u, 1u, 128u, 128u, 128u, 12u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	gloo:broadcast	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_low	sharegpt	low	6.2537	3968	10.08	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	gloo:broadcast | aten::copy_ | aten::as_strided | aten::view	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_low	sharegpt	low	4.7124	3968	7.59	attention	ok	True	fmhaSm100fKernel_QkvBfloat16OBfloat16H128PagedKvCausalP32MultiCtasKvCgaVarSeqQ16Kv128StaticSwapsAbForGen	aten::copy_ | aten::add | c10d::broadcast_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""0"", ""0"", ""False"", ""-1""], ""Input Dims"": [[[1]], [], [], [], [], []], ""Input Strides"": [[[1]], [], [], [], [], []], ""Input type"": [""TensorList"", """", ""Scalar"", ""Scalar"", ""Scalar"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_low	sharegpt	low	4.5453	2480	11.72	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x16x128u2_s6_et64x16_m64x16x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schedS_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	gloo:broadcast | aten::add | aten::_to_copy | aten::copy_ | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""3"", """", """", """", ""False"", """"], ""Input Dims"": [[1], [], [], [], [], [], []], ""Input Strides"": [[1], [], [], [], [], [], []], ""Input type"": [""bool"", ""Scalar"", """", """", """", ""Scalar"", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_low	sharegpt	low	3.4103	496	43.97	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x8x128u2_s8_et64x8_m64x8x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	aten::empty	external_id=35578	"{""Concrete Inputs"": [""[0]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_low	sharegpt	low	2.7687	2480	7.14	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x16x128u2_s6_et64x16_m64x16x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schedS_bN_rgTma_clmp_dynB_sm100f	gloo:broadcast | aten::add | aten::_local_scalar_dense | aten::sum | aten::_foreach_copy_	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_low	sharegpt	low	2.5663	4464	3.68	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 4, true>)	aten::empty | nccl:_all_gather_base | sglang::unified_attention_with_output	external_id=35578	"{""Concrete Inputs"": [""[0]"", ""4"", """", """", ""False"", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", ""Scalar"", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_low	sharegpt	low	2.2469	3968	3.62	moe	ok	True	void moe::dev::activation::activationDeepSeekKernel<moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 1, true> >(moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 1, true>)	aten::copy_ | aten::resolve_neg | aten::as_strided | aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_low	sharegpt	low	2.1959	3968	3.54	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 160, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> > >(moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 160, 8, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> >)	aten::copy_ | gloo:broadcast | aten::index | aten::_index_put_impl_ | aten::resolve_neg	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
