model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_mid	sharegpt	mid	10.1613	1016	190.72	comm	ok	True	ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)	sglang::unified_attention_with_output | aten::lift_fresh | aten::as_strided | aten::to	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""0"", """", """", """", """", """", """", """"], ""Input Dims"": [[2560, 1536], [2560, 1, 128], [2560, 1, 128], [2560, 1536], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1792, 1], [1792, 128, 1], [1792, 128, 1], [1536, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_mid	sharegpt	mid	9.2225	3224	54.55	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x8x128u2_s8_et64x8_m64x8x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW2_dynB_sm100f	aten::copy_ | aten::detach_ | aten::resolve_neg | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_mid	sharegpt	mid	8.9449	6888	24.76	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	sglang::unified_attention_with_output | aten::empty_strided | aten::_to_copy | aten::permute | aten::_reshape_alias	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""4"", """", """", """", """", """", """", """"], ""Input Dims"": [[20, 1536], [20, 1, 128], [20, 1, 128], [20, 1536], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1792, 1], [1792, 128, 1], [1792, 128, 1], [1536, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_mid	sharegpt	mid	8.5596	3472	47.01	moe	ok	True	void moe::dev::activation::activationDeepSeekKernel<moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 4, true> >(moe::dev::activation::KernelParams<cutlass::float_e4m3_t, 4, true>)	aten::lift_fresh | gloo:broadcast | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_mid	sharegpt	mid	8.0536	984	156.08	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_twoshot_sync<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 8, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>, std::array<int, 8>, std::array<int, 8>)	aten::copy_ | sglang::unified_attention_with_output | aten::empty_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""42"", """", """", """", """", """", """", """"], ""Input Dims"": [[2048, 1536], [2048, 1, 128], [2048, 1, 128], [2048, 1536], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1792, 1], [1792, 128, 1], [1792, 128, 1], [1536, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_mid	sharegpt	mid	7.5792	8928	16.19	quant_gemm	ok	True	void per_token_group_quant_8bit_kernel<NaiveScheduler, 128, 8, __nv_bfloat16, c10::Float8_e4m3fn, true, true, false, unsigned int>(__nv_bfloat16 const*, c10::Float8_e4m3fn*, unsigned int*, int const*, int, int, int, int, int)	aten::copy_ | sglang::unified_attention_with_output | aten::sub	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", """", ""True""], ""Input Dims"": [[31], [31], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_mid	sharegpt	mid	5.7820	558	197.60	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x128x128u2_s5_et64x128_m64x128x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW4_dynB_sm100f	aten::to | aten::copy_ | sglang::unified_attention_with_output	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", ""38"", """", """", """", """", """", """", """"], ""Input Dims"": [[2048, 1536], [2048, 1, 128], [2048, 1, 128], [2048, 1536], [], [], [], [], [], [], [], [], []], ""Input Strides"": [[1792, 1], [1792, 128, 1], [1792, 128, 1], [1536, 1], [], [], [], [], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""Scalar"", ""Scalar"", """", """", """", """", """", """", """"]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_mid	sharegpt	mid	4.9728	434	218.50	quant_gemm	ok	True	bmm_E4m3_E4m3E4m3_Fp32_t128x64x128u2_s6_et64x64_m64x64x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_tma_tmaSf_rgTma_clmp_lbW4_dynB_sm100f	aten::lift_fresh | gloo:broadcast | aten::copy_ | aten::empty	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_mid	sharegpt	mid	4.5610	2976	29.23	quant_gemm	ok	True	bmm_Bfloat16_E4m3E4m3_Fp32_t128x8x128u2_s8_et64x8_m64x8x32_c1x1x1_rM_TN_transOut_noShfl_dsFp8_schPd4x2x2x3_bN_rgTma_clmp_dynB_sm100f	gloo:broadcast | aten::copy_ | aten::add | aten::empty	timestamp_enclosure	"{""Concrete Inputs"": [""""], ""Input Dims"": [[1]], ""Input Strides"": [[1]], ""Input type"": [""long int""]}"
Qwen/Qwen3-Coder-480B-A35B-Instruct-FP8	sharegpt_mid	sharegpt	mid	2.7925	6944	7.67	quant_gemm	ok	True	void deep_gemm::sm100_fp8_fp4_gemm_1d1d_impl<(cute::UMMA::Major)0, (cute::UMMA::Major)0, 128u, 128u, 0u, 0u, 0u, 16u, 128u, 128u, 1u, 128u, 128u, 128u, 12u, 128u, 128u, 2u, true, 148u, true, (deep_gemm::GemmType)0, false, cutlass::float_e4m3_t, cutlass::float_e4m3_t, cutlass::bfloat16_t, deep_gemm::epilogue::transform::EpilogueIdentity>(int*, unsigned int, unsigned int, unsigned int, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st, CUtensorMap_st)	aten::cat | aten::as_strided | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", ""0""], ""Input Dims"": [[[480], [192], [128], [1312]], []], ""Input Strides"": [[[1], [1], [1], [1]], []], ""Input type"": [""TensorList"", ""Scalar""]}"
