model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-Coder-Next	random_mid	random	mid	13.6959	1520	53.13	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::empty | aten::linear | aten::reshape	external_id=17588	"{""Concrete Inputs"": [""[3040, 256]"", ""15"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
Qwen/Qwen3-Coder-Next	random_mid	random	mid	6.7938	96	417.28	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::empty | aten::view | aten::empty_strided | aten::add_ | aten::copy_	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[16384, 10]"", ""15"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
Qwen/Qwen3-Coder-Next	random_mid	random	mid	5.1987	288	106.43	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT	aten::t | aten::mm | aten::arange | aten::as_strided	external_id=21219	"{""Concrete Inputs"": [""0"", ""14"", ""1"", """"], ""Input Dims"": [[], [], [], [0]], ""Input Strides"": [[], [], [], [1]], ""Input type"": [""Scalar"", ""Scalar"", ""Scalar"", ""long int""]}"
Qwen/Qwen3-Coder-Next	random_mid	random	mid	4.5904	96	281.94	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	aten::empty | aten::view | sglang::inplace_all_reduce | record_param_comms | aten::empty_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[16384, 2048], []], ""Input Strides"": [[2048, 1], []], ""Input type"": [""c10::BFloat16"", """"]}"
Qwen/Qwen3-Coder-Next	random_mid	random	mid	4.1426	192	127.22	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x4_h_bz_TNT	aten::matmul | aten::view	external_id=17542	"{""Concrete Inputs"": ["""", ""[-1, 2048]""], ""Input Dims"": [[38, 2048], []], ""Input Strides"": [[2048, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
Qwen/Qwen3-Coder-Next	random_mid	random	mid	3.4923	336	61.28	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s4_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_biasBfloat16Mn_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::as_strided | aten::argmax	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[32, 151936]"", ""[151936, 1]"", ""0""], ""Input Dims"": [[32, 151936], [], [], []], ""Input Strides"": [[151936, 1], [], [], []], ""Input type"": [""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-Coder-Next	random_mid	random	mid	3.2110	288	65.74	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s4_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::as_strided	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[32], [32], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-Coder-Next	random_mid	random	mid	3.0283	72	248.00	quant_gemm	ok	True	nvjet_sm100_tst_128x24_64x11_4x2_h_bz_TNT	aten::alias	external_id=17753	"{""Concrete Inputs"": [""""], ""Input Dims"": [[38, 2048]], ""Input Strides"": [[2048, 1]], ""Input type"": [""c10::BFloat16""]}"
Qwen/Qwen3-Coder-Next	random_mid	random	mid	2.6835	192	82.41	moe	ok	True	void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true>)	aten::empty | aten::empty_like | aten::view | aten::linear | ChunkGatedDeltaRuleFunction	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", ""False"", """"], ""Input Dims"": [[4096, 16384], [], [], [], [], []], ""Input Strides"": [[1, 4096], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", """", """", """", ""Scalar"", """"]}"
Qwen/Qwen3-Coder-Next	random_mid	random	mid	2.1488	96	131.98	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s6_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[10448, 2048]"", ""15"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
