model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-Coder-Next	sharegpt_high	sharegpt	high	21.4905	1330	218.84	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::reshape | aten::t | aten::view | aten::new_empty	external_id=125335	"{""Concrete Inputs"": ["""", ""[272, 128]""], ""Input Dims"": [[272, 128], []], ""Input Strides"": [[128, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
Qwen/Qwen3-Coder-Next	sharegpt_high	sharegpt	high	7.3969	144	695.69	other	ok	True	_fwd_kernel	aten::empty | sglang::inplace_all_reduce | sglang::_run_activation_inplace | aten::mm | aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[16384, 2048], []], ""Input Strides"": [[2048, 1], []], ""Input type"": [""c10::BFloat16"", """"]}"
Qwen/Qwen3-Coder-Next	sharegpt_high	sharegpt	high	5.9000	192	416.18	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_tma_tmaSf_rgTma_clmp_swiGlu_dynB_sm100f	nccl:all_reduce | aten::empty | aten::mm | aten::view | record_param_comms	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[16384, 2048]""], ""Input Dims"": [[16384, 2048], []], ""Input Strides"": [[2048, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
Qwen/Qwen3-Coder-Next	sharegpt_high	sharegpt	high	4.5128	576	106.11	quant_gemm	ok	True	nvjet_sm100_tst_128x256_64x6_2x1_2cta_v_bz_TNT	aten::mm | aten::as_strided	external_id=143658	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[16384, 2048], [2048, 6144]], ""Input Strides"": [[2048, 1], [1, 2048]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
Qwen/Qwen3-Coder-Next	sharegpt_high	sharegpt	high	4.3661	388	152.40	comm	ok	True	ncclDevKernel_AllReduce_Sum_bf16_RING_LL(ncclDevKernelArgsStorage<4096ul>)	sglang::store_cache | aten::empty | aten::view | aten::to | aten::copy_	external_id=131294	"{""Concrete Inputs"": ["""", ""4"", ""False"", ""False"", """"], ""Input Dims"": [[16384], [], [], [], []], ""Input Strides"": [[1], [], [], [], []], ""Input type"": [""long int"", ""Scalar"", ""Scalar"", ""Scalar"", """"]}"
Qwen/Qwen3-Coder-Next	sharegpt_high	sharegpt	high	4.0057	192	282.56	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x64x128u2_s5_et128x64_m256x64x16_c2x1x1_rM_BN_transOut_schPd2x1x2x3_bN_rgTma_clmp_dynB_sm100f	nccl:all_reduce | aten::empty_strided | aten::empty | aten::gt | sglang::inplace_all_reduce	timestamp_enclosure	"{""Concrete Inputs"": [""[0]"", ""1"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
Qwen/Qwen3-Coder-Next	sharegpt_high	sharegpt	high	3.8159	288	179.45	quant_gemm	ok	True	nvjet_sm100_tst_64x64_64x16_2x1_2cta_v_bz_TNT	aten::view | aten::matmul	external_id=176457	"{""Concrete Inputs"": ["""", """"], ""Input Dims"": [[118, 2048], [2048, 512]], ""Input Strides"": [[2048, 1], [1, 2048]], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16""]}"
Qwen/Qwen3-Coder-Next	sharegpt_high	sharegpt	high	3.2932	192	232.30	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x4_h_bz_TNT	aten::empty_strided	external_id=125353	"{""Concrete Inputs"": [""[17, 2048]"", ""[2048, 1]"", ""15"", ""0"", """", ""False""], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""ScalarList"", ""Scalar"", ""Scalar"", """", ""Scalar""]}"
Qwen/Qwen3-Coder-Next	sharegpt_high	sharegpt	high	2.8240	768	49.80	quant_gemm	ok	True	nvjet_sm100_tst_8x64_64x16_4x1_v_bz_TNN	aten::reshape | aten::empty_like	external_id=176542	"{""Concrete Inputs"": ["""", """", """", """", ""False"", """"], ""Input Dims"": [[118, 2048], [], [], [], [], []], ""Input Strides"": [[2048, 1], [], [], [], [], []], ""Input type"": [""c10::BFloat16"", """", """", """", ""Scalar"", """"]}"
Qwen/Qwen3-Coder-Next	sharegpt_high	sharegpt	high	2.3076	288	108.52	moe	ok	True	void moe::dev::finalize::finalizeKernelVecLoad<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true>)	aten::empty | aten::empty_strided | aten::mm | ChunkGatedDeltaRuleFunction	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", """", """", """", ""0.088388347648318447"", """", """", """", ""True""], ""Input Dims"": [[1, 16384, 8, 128], [1, 16384, 8, 128], [1, 16384, 16, 128], [1, 16384, 16], [1, 16384, 16], [], [1011, 16, 128, 128], [58], [59], []], ""Input Strides"": [[16777216, 1024, 128, 1], [16777216, 1024, 128, 1], [33554432, 2048, 128, 1], [262144, 16, 1], [262144, 16, 1], [], [262144, 16384, 128, 1], [1], [1], []], ""Input type"": [""c10::BFloat16"", ""c10::BFloat16"", ""c10::BFloat16"", ""float"", ""float"", ""Scalar"", ""float"", ""int"", ""int"", ""Scalar""]}"
