model	label	dataset	concurrency	pct_of_gpu	calls	mean_us	category	shape_status	sglang_relevant	kernel	top_cpu_ops	sample_shape_provenance	sample_shapes_json
Qwen/Qwen3-Coder-Next	sharegpt_low	sharegpt	low	20.7338	1710	17.11	comm	ok	True	void flashinfer::trtllm_allreduce_fusion::allreduce_fusion_kernel_oneshot_lamport<(flashinfer::trtllm_allreduce_fusion::AllReduceFusionPattern)1, __nv_bfloat16, 2, false, false>(flashinfer::trtllm_allreduce_fusion::AllReduceFusionParams<__nv_bfloat16>)	aten::empty | aten::linear	external_id=90127	"{""Concrete Inputs"": [""[1360, 256]"", ""15"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
Qwen/Qwen3-Coder-Next	sharegpt_low	sharegpt	low	6.8717	1536	6.31	quant_gemm	ok	True	nvjet_sm100_tst_16x64_64x16_4x1_v_bz_TNN	aten::as_strided | aten::copy_ | aten::argmax	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-Coder-Next	sharegpt_low	sharegpt	low	6.1302	1536	5.63	quant_gemm	ok	True	nvjet_sm100_tst_32x64_64x16_4x1_v_bz_splitK_TNN	aten::copy_ | aten::as_strided | aten::view	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 151936]"", ""[151936, 1]"", ""0""], ""Input Dims"": [[1, 151936], [], [], []], ""Input Strides"": [[151936, 1], [], [], []], ""Input type"": [""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
Qwen/Qwen3-Coder-Next	sharegpt_low	sharegpt	low	5.8949	768	10.83	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_4x1_v_bz_TNT	aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-Coder-Next	sharegpt_low	sharegpt	low	5.0772	192	37.32	quant_gemm	ok	True	nvjet_sm100_tst_64x8_64x16_2x4_h_bz_TNT	aten::view	external_id=90081	"{""Concrete Inputs"": ["""", ""[-1, 2048]""], ""Input Dims"": [[17, 2048], []], ""Input Strides"": [[2048, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
Qwen/Qwen3-Coder-Next	sharegpt_low	sharegpt	low	3.4143	432	11.15	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s4_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schPd2x1x2x3_biasBfloat16Mn_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[1360, 2048]"", ""15"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
Qwen/Qwen3-Coder-Next	sharegpt_low	sharegpt	low	3.2538	864	5.31	moe	ok	True	void moe::dev::finalize::finalizeKernel<moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true> >(moe::dev::finalize::KernelParams<cutlass::bfloat16_t, cutlass::bfloat16_t, 2, true>)	aten::empty	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": [""[1360, 2048]"", ""15"", """", """", """", """"], ""Input Dims"": [[], [], [], [], [], []], ""Input Strides"": [[], [], [], [], [], []], ""Input type"": [""ScalarList"", ""Scalar"", """", """", """", """"]}"
Qwen/Qwen3-Coder-Next	sharegpt_low	sharegpt	low	3.0546	72	59.87	quant_gemm	ok	True	nvjet_sm100_tst_64x24_64x16_4x1_v_bz_TNT	aten::view	external_id=90144	"{""Concrete Inputs"": ["""", ""[-1]""], ""Input Dims"": [[17, 2048], []], ""Input Strides"": [[2048, 1], []], ""Input type"": [""c10::BFloat16"", ""ScalarList""]}"
Qwen/Qwen3-Coder-Next	sharegpt_low	sharegpt	low	2.6214	768	4.82	moe	ok	True	void moe::dev::routing::routingCustom::routingIndicesBlockKernel<moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 512, 16, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> > >(moe::dev::routing::routingCustom::KernelParams<__nv_bfloat16, __nv_bfloat16, 512, 16, moe::dev::routing::TopKExpertSelect<moe::dev::routing::NoOpPreprocess, moe::dev::routing::SoftmaxPostprocess> >)	aten::copy_	timestamp_enclosure	"{""Concrete Inputs"": ["""", """", ""False""], ""Input Dims"": [[1], [1], []], ""Input Strides"": [[1], [1], []], ""Input type"": [""long int"", ""long int"", ""Scalar""]}"
Qwen/Qwen3-Coder-Next	sharegpt_low	sharegpt	low	2.3336	384	8.58	other	ok	True	bmm_Bfloat16_Bfloat16Bfloat16_Fp32_t128x8x128u2_s5_et128x8_m128x8x16_c1x1x1_rM_BN_transOut_schedS_biasBfloat16Mn_bN_ldgsts_ldgstsSf_rgTma_clmp_swiGlu_dynB_sm100f	aten::copy_ | aten::as_strided | aten::argmax	nearest_preceding_shape_cpu_op	"{""Concrete Inputs"": ["""", ""[1, 151936]"", ""[151936, 1]"", ""0""], ""Input Dims"": [[1, 151936], [], [], []], ""Input Strides"": [[151936, 1], [], [], []], ""Input type"": [""float"", ""ScalarList"", ""ScalarList"", ""Scalar""]}"
